Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
advanced modeling,USA,Broad match,existing searches,0.7600000256131543,1.20932838687,0.2327312565713855,1.2093288,-3.837675122131401e-07
ai software engineer course,USA,Broad match,existing searches,0.6399999997428122,1.0609453264500002,0.0820791665340761,1.0609456,-3.0362354719315476e-07
an introduction to general systems thinking,USA,Broad match,existing searches,0.7600000256131543,1.21454932765,0.23273142651550893,1.2145495,-2.138233887727381e-07
apply mit edu,USA,Broad match,existing searches,0.6399999997428122,1.1980443436500001,0.08207945412363293,1.1980444,-7.563863513304625e-08
bernard m gordon mit engineering leadership program,USA,Broad match,existing searches,0.6399999997428122,1.1947090621699996,0.08207917172810508,1.1947094,-3.580341629838557e-07
business development manager,USA,Broad match,existing searches,0.6399999997428121,1.1259589933800003,0.08207912677996365,1.1259594,-4.029823044149339e-07
business dynamics,USA,Broad match,existing searches,0.7600000256131543,1.1098317835000007,0.23273137542276068,1.109832,-2.649161370271713e-07
business dynamics systems thinking,USA,Broad match,existing searches,0.7600000256131543,1.0921820988699997,0.2327315797850693,1.0921822,-6.055382839598167e-08
business dynamics systems thinking and modeling for a complex world,USA,Broad match,existing searches,0.7600000256131534,1.1466715289,0.23273151644501344,1.1466717,-1.238938842629267e-07
business process management certification,USA,Broad match,existing searches,0.7600000256131543,2.0153805571300003,0.13958745772661896,2.0153804,1.7459215850834653e-07
business process simulation,USA,Broad match,existing searches,0.7600000256131543,1.1780158246,0.23273151759697885,1.178016,-1.2274191885097707e-07
business systems analyst courses,USA,Broad match,existing searches,0.7600000256131543,1.3958300045799994,0.23273131168601746,1.3958303,-2.69048235468361e-07
business systems course,USA,Broad match,existing,0.7600000256131534,1.4085407853799994,0.23273128277837585,1.4085411,-2.9795587708214555e-07
career essentials certificate by microsoft and linkedin,USA,Broad match,existing searches,0.7600000256131543,1.9141302005800005,0.139587034419417,1.9141306,-3.6792433300014693e-07
certificate in design thinking,A,Broad match,existing searches,0.6399999997427273,1.1149546534299994,0.05958479945661077,1.114955,-2.949952935260569e-07
certificate in systems thinking,USA,Exact match,existing searches,0.7600000256131543,0.5751060705000002,0.18934454129277056,0.5751062,-1.3305606061386754e-07
certificate in systems thinking,USA,Broad match,existing searches,0.7600000256131543,3.854776411,0.2206476020247803,3.8547761,2.6697229005279155e-07
certificate program in construction management,USA,Exact match,existing searches,0.6399999997428122,0.6636728085200005,0.14392108093897638,0.6636728,3.687542049490844e-09
certificate program in construction management,USA,Phrase match,existing searches,0.7600000256131543,0.7368080228200006,0.20142908986711971,0.736808,2.0824913904426978e-08
certified associate in project management capm,USA,Broad match,existing searches,0.7600000256131543,1.16249002295,0.13958705740434563,1.1624905,-4.641486939238604e-07
class central,USA,Exact match,existing searches,0.6399999997428122,0.6531134818800005,0.14392101514416067,0.65311354,-6.210727365729696e-08
class central,USA,Phrase match,existing searches,0.7600000256131543,0.7262486961800004,0.2014290240723039,0.72624874,-4.4969901913383126e-08
class central certificate,USA,Exact match,existing searches,0.7600000256131543,0.7180191225900007,0.20142906378644232,0.71801907,5.434888128430515e-08
class central certificate,USA,Phrase match,existing searches,0.7600000256131543,0.7336463298900008,0.20142906571458574,0.73364633,-3.3276200683829416e-09
class central certificates,USA,Phrase match,existing searches,0.7600000256131543,0.7215619069900008,0.18934464281458574,0.7215619,-1.7319230494194926e-09
cm punjab it certification program 2025,USA,Broad match,existing searches,0.6399999997428122,1.7687761687999999,0.08207940099299305,1.7687763,-1.2876927502070146e-07
coding certificate free,USA,Broad match,existing searches,0.6399999997428122,1.9095617426799993,0.08207904233209895,1.9095622,-4.874301691160099e-07
cognitive class ibm,USA,Exact match,existing searches,0.6399999997428122,0.8569515222900009,0.14392112439800264,0.8569515,4.714656831605879e-08
cognitive class ibm,USA,Phrase match,existing searches,0.7600000256131543,0.9300867365900006,0.20142913332614565,0.93008673,4.679295062537392e-09
complex problem solving,USA,Broad match,existing searches,0.7600000256131543,0.9330664551700001,0.23273125056871224,0.9330669,-4.4937483023588243e-07
complex systems modeling,USA,Broad match,existing searches,0.7600000256131543,1.2764965126699994,0.22064684130616885,1.2764968,-2.553277422823186e-07
computer hardware engineer courses,USA,Broad match,existing searches,0.7600000256131543,1.0293870273000003,0.13958719400227082,1.0293874,-3.2755076873058897e-07
computer science certificate programs,USA,Broad match,existing searches,0.7600000256131543,1.9403321456300002,0.13958737367260277,1.9403322,-2.867114723414943e-08
construction management certificate,USA,Phrase match,existing searches,0.7600000256131543,0.63398676998,0.2014289785085187,0.6339869,-1.2033600949035161e-07
control systems and fundamental concepts,USA,Phrase match,existing searches,0.7600000256131543,0.7540841034500001,0.20142900262755137,0.75408417,-6.641465444268135e-08
cost estimation certification for managers and engineers,USA,Broad match,existing searches,0.7600000256131543,1.21840587158,0.13958707351481436,1.2184063,-4.4803822518701963e-07
course for planning engineer,USA,Broad match,existing searches,0.6399999997428122,1.1656336835699999,0.08207929647740952,1.1656339,-2.3328485854179348e-07
course system engineering,USA,Broad match,existing searches,0.7600000256131543,1.3613370043,0.23273128091895745,1.3613373,-2.9981529547917773e-07
coursera google project management,USA,Exact match,existing searches,0.6399999997428122,0.6232396227800002,0.14392097420326377,0.6232397,-7.324584816448265e-08
coursera google project management,USA,Phrase match,existing searches,0.7600000256131543,0.6963748370800004,0.20142898313140722,0.6963749,-5.6108476198524215e-08
coursera system design,USA,Phrase match,existing searches,0.7600000256131543,0.69905181896,0.2014290608098993,0.6990518,2.1570015884542215e-08
coursera systems thinking,USA,Exact match,existing searches,0.7600000256131543,0.9502425658600006,0.20142905591889948,0.9502425,4.6481338444870346e-08
coursera systems thinking,USA,Phrase match,existing searches,0.7600000256131543,0.9658697731600004,0.20142905784704268,0.9658698,-1.1195163129862351e-08
create design system,A,Broad match,existing searches,20.689999841762475,16.25828003758,15.056935189900862,16.258278,2.1445135942599336e-06
create project plan,A,Broad match,existing searches,11.489999613700954,5.3417535884500005,4.202400074732349,5.341754,-3.712057612403896e-07
creative problem solving examples,A,Broad match,existing searches,0.639999999742713,1.2600514322999996,0.05958491866627158,1.2600516,-1.7578563271669623e-07
cto course,USA,Phrase match,existing searches,0.7600000256131543,0.5163470057500007,0.20142899432307504,0.51634705,-4.491680838381029e-08
define system,USA,Exact match,existing searches,0.7600000256131543,1.0572551242800001,0.20142904443457166,1.0572553,-1.4381692370335486e-07
define system,USA,Phrase match,existing searches,0.7600000256131543,1.0728823315800002,0.20142892715342553,1.0728825,-2.0149342505604295e-07
