Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
360 learning,USA,Broad match,existing searches,1.1,0.9021703125200006,0.3892754436692925,0.9021703,1.2036296959117012e-08,0.049324512
alison courses,USA,Phrase match,existing searches,0.8100000406884624,0.6898684097600005,0.2014266444516204,0.6898684,1.9199850376239173e-08,0.11942059
certificate program in construction management,USA,Broad match,existing searches,0.9900000218687398,0.8312131634200004,0.2933691015684989,0.83121306,1.0637883218755917e-07,0.093946695
codedamn courses,USA,Exact match,existing searches,0.9900000218687398,0.7489553807100013,0.2933691559156135,0.7489553,7.13189796108793e-08,0.11942059
coding course,USA,Broad match,existing searches,0.9900000218687398,0.9175699624200006,0.2933690818925042,0.9175698,1.463074822405375e-07,0.04932463
complex problem solving,USA,Phrase match,existing searches,1.1,1.2127241451660002,0.3892754871764983,1.2127241,5.5543502686106194e-08,0.053586364
construction management certificate,USA,Exact match,existing searches,1.1,0.6137168631999997,0.3892755136936215,0.6137169,-3.714866358972557e-08,0.007398963
construction management certificate,USA,Phrase match,existing searches,1.1,0.7400833111999999,0.3892754656075011,0.7400833,3.3974505542211375e-08,0.0073989034
course on systems thinking,USA,Broad match,existing searches,0.9900000218687404,1.478772116890001,0.4376602899933335,1.478772,7.270817725668621e-08,0.14013416
coursera certificate,USA,Exact match,existing searches,0.9900000218687398,0.6590522996600005,0.2933691612894865,0.6590522,1.064951750118226e-07,0.11942053
coursera systems thinking,USA,Exact match,existing searches,0.9900000218687398,0.8109617460160017,0.2933690774826765,0.8109617,2.268836496455151e-08,0.16560793
courses on systems thinking,USA,Broad match,existing searches,0.9900000218687404,1.478772116890001,0.4376602899933335,1.478772,7.270817725668621e-08,0.1401341
cto course,USA,Exact match,existing searches,0.9900000218687398,0.5354207337000007,0.2933690726854437,0.5354207,1.7891132242375818e-08,0.007398963
cto course,USA,Phrase match,existing searches,0.9900000218687398,0.6617871817000008,0.2933690842039681,0.6617871,8.901430137431279e-08,0.0073989034
digitaldefynd,USA,Exact match,existing searches,0.9900000218687398,0.70899056356,0.2933691636805444,0.7089904,1.684908776944383e-07,0.11942059
digitaldefynd,USA,Phrase match,existing searches,0.9900000218687398,0.83535701156,0.2933691751990686,0.8353569,1.2040475705354936e-07,0.11942059
dit course,USA,Exact match,existing searches,0.9900000218687398,0.6299806093100004,0.2933691297892027,0.62998056,4.5192568798313466e-08,0.11942059
dit course,USA,Phrase match,existing searches,0.9900000218687398,0.7563470573100003,0.2933691115054043,0.75634706,-2.89355195359775e-09,0.11942059
donella meadows systems thinking pdf,USA,Exact match,existing searches,0.9900000218687398,0.6050008726559999,0.2933691037141206,0.60500085,1.911748670480052e-08,0.053586304
donella meadows systems thinking pdf,USA,Broad match,existing searches,0.9900000218687398,0.8819003287700007,0.2933690730479548,0.8819002,1.374629328143584e-07,0.09551185
edx certificate,USA,Phrase match,existing searches,0.9900000218687398,0.7408948779600006,0.2933691978948456,0.74089473,1.431005340890579e-07,0.11942059
edx mooc org,USA,Exact match,existing searches,0.9900000218687398,0.4815222304500004,0.2933691125548741,0.48152214,8.756288494282671e-08,0.007398963
edx mooc org,USA,Phrase match,existing searches,0.9900000218687398,0.4815222304500004,0.2933691125548741,0.48152214,8.756288494282671e-08,0.007398963
formation gestion de projet gratuite,USA,Exact match,existing searches,0.9900000218687398,0.7486855844160003,0.2933691600461883,0.74868554,4.564723199429466e-08,0.11942059
formation gestion de projet gratuite,USA,Phrase match,existing searches,0.9900000218687398,0.8750520324160009,0.2933691119600683,0.87505203,-2.4388879804604358e-09,0.11942059
freecodecamp full stack certification,A,Phrase match,existing searches,2.260000038413544,1.1720648371699998,0.4595507943156907,1.1720648,5.5981034918772834e-08,0.2793699
freecodecamp full stack certification,A,Broad match,existing searches,0.6399999933300222,0.9213190493700016,0.0260239062425601,0.921319,4.149646637419124e-08,0.0
freecodecamp full stack certification,B,Exact match,existing searches,16.020000221100098,38.94447110126,38.08998278806191,38.94447,1.6493557026819872e-06,33.2147
freecodecamp full stack certification,B,Phrase match,existing searches,16.020000221100098,38.94447110126,38.08998278806191,38.94447,1.6493557026819872e-06,33.209225
freecodecamp full stack certification,B,Broad match,existing searches,16.020000221100098,39.01363101879001,37.92440501132846,39.01363,1.105459929817698e-06,33.278656
google coursera free courses with certificate,USA,Exact match,existing searches,0.9900000218687398,0.7800966070200002,0.293369130900005,0.78009653,7.610569352500819e-08,0.11942059
google coursera free courses with certificate,USA,Phrase match,existing searches,0.9900000218687398,0.9064630550200006,0.2933691424185296,0.906463,2.8019573328208484e-08,0.11942059
google management certificate,USA,Exact match,existing searches,0.6399999933300373,0.349457581696,0.1327205497593545,0.34945768,-9.948304663387476e-08,0.036887586
google management certificate,USA,Phrase match,existing searches,0.9900000218687398,0.5101060885960005,0.293369056659355,0.510106,6.146968822839939e-08,0.0073989034
google management project certificate,USA,Exact match,existing searches,0.9900000218687396,0.6875987484600017,0.2933690979625651,0.68759865,1.0277289841376105e-07,0.11942059
google management project certificate,USA,Broad match,existing searches,6.050000198408306,3.4836397647200297,2.9945678889094065,3.4836402,-4.2921917930982566e-07,0.63767433
google management project certificate,A,Exact match,existing searches,0.6399999933300133,1.0910750422600004,0.1327206287506315,1.0910752,-1.3970105916527586e-07,0.036887586
google management project certificate,A,Phrase match,existing searches,0.6399999933300133,1.0910750422600013,0.1327206287506324,1.0910752,-1.3970105827709745e-07,0.036887586
google management project certificate,A,Broad match,existing searches,6.050000198408306,5.553354630720027,4.500157962095149,5.553355,-5.86259953472279e-07,1.8562272
google product manager certificate,USA,Exact match,existing searches,0.9900000218686807,0.720282139710001,0.2933690571103611,0.7202821,6.192069434973746e-08,0.0073989034
google product manager certificate,USA,Phrase match,existing searches,6.0500001984082985,3.3672154936100025,2.8139359745288868,3.3672156,-1.3978233148748134e-07,0.43520862
google product manager certificate,USA,Broad match,existing searches,6.050000198408312,3.6964644335200014,2.913147880880994,3.6964648,-3.434727964268802e-07,0.6376743
google product manager certificate,A,Exact match,existing searches,6.0500001984083065,5.260135141110002,4.3195261628385175,5.2601357,-5.09524763714353e-07,1.5567394
google product manager certificate,A,Phrase match,existing searches,0.6399999933299636,1.1996961110100022,0.1327207558616867,1.1996961,4.70146408471095e-08,0.036887586
google product manager certificate,A,Broad match,existing searches,6.0500001984082985,5.715750529020807,4.418737961500665,5.7157507,-1.6525409574086325e-07,1.8562274
google project certificate,USA,Exact match,existing searches,0.9900000218687398,0.7461678512100003,0.2933690972331784,0.74616784,1.2636544477473421e-08,0.11942059
google project certificate,USA,Phrase match,existing searches,0.9900000218687398,0.8725342992100009,0.2933690789493808,0.87253433,-3.544957549728167e-08,0.11942059
google project management certificate,USA,Exact match,existing searches,0.9900000218687396,0.8313372975600011,0.2933691388380772,0.83133703,2.628577000507448e-07,0.11942053
google project management certificate,USA,Phrase match,existing searches,6.050000198408293,3.387279600470002,2.8493114417480783,3.3872795,8.997195521942558e-08,0.54723024
google project management certificate,USA,Broad match,existing searches,6.0500001984082985,3.5774105145200017,2.994567926095319,3.5774107,-1.834170100245558e-07,0.63767433
google project management certificate,A,Broad match,existing searches,6.0500001984082985,5.596696610020002,4.500157947109541,5.596697,-2.436176931297496e-07,1.8562273
google project management professional certificate,USA,Broad match,existing searches,6.05000019840831,3.749149835220001,2.806451058498047,3.7491498,3.58730773974969e-08,0.6376743
google project management professional certificate,A,Broad match,existing searches,6.0500001984082985,5.441534383220002,4.312041027468965,5.441535,-6.128127125748506e-07,1.8562274
google project manager certificate,USA,Exact match,existing searches,6.050000198408306,3.264109671370002,2.8493114116348948,3.2641096,5.985877171710285e-08,0.5472302
google project manager certificate,USA,Broad match,existing searches,6.0500001984082985,3.580607033420002,2.994567847896015,3.5806072,-1.4240702439494157e-07,0.63767433
google project manager certificate,A,Exact match,existing searches,6.0500001984082985,5.333824537370002,4.354901514622962,5.333825,-5.740191584280296e-07,1.668761
google project manager certificate,A,Broad match,existing searches,6.0500001984082985,5.6503218994200015,4.5001578912794375,5.650322,-6.102921723538658e-08,1.8562273
grokking system design,A,Broad match,existing searches,0.8100000406884647,1.4093326203300005,0.0687057845069412,1.4093329,-2.511070724686704e-07,0.10794425
grow google certificate,USA,Broad match,existing searches,1.1,0.7560985851100013,0.3892754781058356,0.7560985,7.627516240837906e-08,0.09394652
human centered systems thinking course,USA,Broad match,new,0.9900000218687396,1.3310501841400009,0.43766024387816,1.3310502,2.659300379903584e-08,0.09551203
ibm project manager certification,USA,Broad match,existing searches,0.9900000218687346,5.863320217210001,0.1866720772563876,5.8633204,-1.334369716943229e-07,0.09394622
it short courses,USA,Exact match,existing searches,1.1,0.7326916346000003,0.389275539820032,0.73269165,-1.1022253110226645e-08,0.0073989034
it short courses,USA,Broad match,existing searches,1.1,1.074770373320001,0.3892755331748898,1.0747705,-7.7272040099885e-08,0.04932469
learning to solve problems,USA,Exact match,existing searches,1.1,1.0457619218259997,0.3892754702001757,1.0457618,9.817182489157973e-08,0.16560799
learning to solve problems,USA,Phrase match,existing searches,1.1,1.045761921826,0.3892754702001761,1.0457618,9.817182533566893e-08,0.16560817
learning to solve problems,USA,Broad match,existing searches,1.1,1.0233559854700005,0.3892755158616934,1.023356,2.4624053018840183e-08,0.09551185
lms learning program,USA,Phrase match,existing,1.1,1.2120926530060014,0.3892756254371843,1.2120926,1.4990254371127776e-08,0.082533
lms learning program,USA,Broad match,existing,1.1,1.0556993692600014,0.3892755120479347,1.0556995,-9.839899517416485e-08,0.012436986
masters in systems thinking,USA,Broad match,existing searches,0.5100000166980744,1.1949596079900004,0.2509878548695781,1.1949598,-1.5172221878856362e-07,0.036887586
masters in systems thinking,A,Broad match,existing searches,0.5100000166980656,1.3817540906900003,0.250987937354429,1.3817542,-6.923736783903679e-08,0.036887646
microsoft project management certification,USA,Broad match,existing searches,0.9900000218687396,5.935465445060001,0.1866718430702549,5.935466,-3.6762310440252577e-07,0.09394622
mit executive certificate worth it,USA,Exact match,existing searches,0.9900000218685704,0.7183534768500012,0.1606484321036022,0.7183534,8.615633662056865e-08,0.007398963
mit executive certificate worth it,USA,Broad match,existing searches,6.050000198408306,3.543592212370036,2.7229190446645,3.5435925,-2.406328936110924e-07,0.33342546
opencourseware ocw,USA,Exact match,existing searches,1.1,0.9008175348600004,0.3892755722364041,0.9008174,1.406034084716623e-07,0.11942059
opencourseware ocw,USA,Phrase match,existing searches,1.1,1.0271839828600002,0.3892755241502834,1.027184,-2.6692001720007852e-08,0.11942053
opencourseware ocw,USA,Broad match,existing searches,1.1,1.0747703733200007,0.3892755331748896,1.0747705,-7.727204032192958e-08,0.049324512
programming logic building exercises,USA,Broad match,existing searches,0.8100000406884624,0.9449777602700008,0.2014266252068294,0.9449779,-1.192542301575728e-07,0.1401341
quality software management systems thinking,A,Broad match,existing searches,0.639999993330024,3.0189639823600007,0.0260233180686189,3.0189645,-5.466774748441594e-07,0.036887407
software development certificate,A,Broad match,existing searches,0.6399999933300007,2.96374896771,0.0260234237341698,2.9637494,-4.410119238684729e-07,0.036887407
software product manager certification,USA,Broad match,existing searches,6.0500001984082985,3.6245670801200007,2.806451011279974,3.6245673,-1.901589299357909e-07,0.59988666
software product manager certification,A,Exact match,existing searches,6.0500001984083065,4.861336240210001,4.212829121984903,4.8613367,-4.6785884677547074e-07,1.2361169
software product manager certification,A,Phrase match,existing searches,0.8100000406884611,0.8696032570100005,0.094729702303427,0.86960334,-7.884739083863226e-08,0.056718707
software product manager certification,A,Broad match,existing searches,6.050000198408306,5.316951628120632,4.312041039856167,5.3169518,-1.235883519967729e-07,1.6333348
structured problem solving,USA,Exact match,existing searches,1.1,1.0128308425160009,0.389275480291422,1.0128309,-1.0946218376162165e-08,0.16560799
structured problem solving,USA,Broad match,existing searches,1.1,1.0233559854700007,0.3892755158616938,1.023356,2.46240534629294e-08,0.09551203
system design certification,A,Exact match,existing,20.689999486722016,16.61163531065,15.753496630191933,16.611637,-1.8048285141958327e-06,8.002001
system design certification,A,Phrase match,existing,20.689999486722016,16.92083795265,15.753496481931617,16.92084,-1.3570423824660338e-06,7.9965286
system design certification,A,Broad match,existing,20.68999948672201,17.068973543880002,15.68591988348724,17.068975,-1.9047283963402608e-06,8.337963
system design certification,B,Exact match,existing,16.020000221100105,39.497637202960895,38.4975241925544,39.49764,-1.499431682816521e-06,32.525707
system design certification,B,Phrase match,existing,16.020000221100105,39.8068398449609,38.49752416350338,39.806843,-2.958994180346508e-06,32.520237
system design certification,B,Broad match,existing,16.020000221100098,39.95497543619,38.37799091146313,39.95498,-3.5066810966100093e-06,32.589664
system design thinking course,USA,Broad match,new,0.9900000218687396,1.4446625517900007,0.411636333375694,1.4446626,-1.9163368447649993e-08,0.058624387
system thinking courses,USA,Broad match,existing searches,0.8100000406884625,1.340823308440001,0.3457178034503769,1.3408234,-1.0350152734872609e-07,0.14013416
system thinking pdf,USA,Broad match,existing searches,0.9900000218687398,0.9462683028700004,0.2933691567899834,0.9462682,1.0199567190838368e-07,0.09551185
systems thinking course,USA,Broad match,existing,0.8100000406884625,1.4093693093400008,0.3457178668122298,1.4093693,-4.01396744731386e-08,0.1401341
systems thinking course harvard,USA,Broad match,existing searches,0.9900000218687396,1.5223910106400016,0.4376602662781241,1.522391,4.899296790483732e-08,0.1401341
systems thinking course mit,USA,Broad match,existing searches,0.9900000218687396,1.447237426040001,0.4376603901360703,1.4472373,1.7285091402641228e-07,0.1401341
systems thinking course syllabus,USA,Broad match,new,0.9900000218687396,1.503276103740001,0.4376603305390123,1.503276,1.1325385607108276e-07,0.1401341
systems thinking coursera,USA,Broad match,existing,1.1,1.4716869675400006,0.5335667216064679,1.471687,8.273338014674891e-09,0.09551203
systems thinking courses,USA,Broad match,existing,0.8100000406884625,1.458617798036001,0.3457178985532736,1.4586178,-8.398630679806729e-09,0.1401341
systems thinking free course,USA,Broad match,new,0.9900000218687396,1.503276103740001,0.4376603305390123,1.503276,1.1325385607108276e-07,0.14013416
systems thinking institute,USA,Broad match,existing searches,0.9900000218687396,1.3570093480400005,0.437660273676292,1.3570093,5.6391135760947015e-08,0.14013416
systems thinking institute,A,Broad match,existing searches,0.5100000166980607,1.3571315149399998,0.2509880403611424,1.3571315,3.376934554211175e-08,0.036887646
systems thinking short course,USA,Broad match,existing,0.9900000218687396,1.515250972940001,0.4376602689757676,1.5152509,5.169061134679964e-08,0.1401341
udemy coursera,USA,Exact match,existing searches,1.1,0.8567755208100003,0.3892755494202298,0.8567754,1.1778723418842676e-07,0.11942059
udemy coursera,USA,Broad match,existing searches,1.1,1.0307283592700005,0.3892755103587149,1.0307285,-1.0008821504925437e-07,0.049324512
understanding systems,USA,Exact match,existing searches,1.1,1.0126534144560004,0.3892754952589179,1.0126535,-5.558336724220681e-08,0.053586304
understanding systems,USA,Phrase match,existing searches,1.1,1.0636459741560005,0.3892755064931892,1.0636461,-1.0395374072658117e-07,0.053586304
understanding systems,USA,Broad match,existing searches,1.1,1.0753785906700004,0.3892754851249564,1.0753788,-1.849266182407661e-07,0.09551203
web designing free course with certificate,A,Exact match,existing searches,1.3000000192737955,1.0692163046600005,0.3442374404670376,1.0692165,-1.8513186983426522e-07,0.12726516
web designing free course with certificate,A,Broad match,existing searches,3.840000043565033,2.43028181807,1.4423347713132555,2.430282,-2.978662791974785e-07,0.99302256
