Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
360 learning,USA,Broad match,existing searches,1.300000031805463,1.16994149708,0.2918288829251843,1.1699417,-1.6666206548165976e-07,0.11987102,5.791065039235217
academy for systems change,USA,Broad match,existing searches,1.30000003180546,1.1712706024100004,0.2918289834906278,1.1712707,-1.257012667288393e-07,0.16605842,5.791063043610859
academy for systems change,B,Broad match,existing searches,0.6400000125806202,1.2722585758100011,0.0507513841519811,1.2722588,-1.827349207506046e-07,0.0,16.393641873161187
asana workflow specialist certification,B,Exact match,existing searches,8.750000246929128,19.84154178931,18.381436370151064,19.841541,4.990267967741602e-07,11.980093,0.618830873276003
asana workflow specialist certification,B,Phrase match,existing searches,8.750000246929128,19.97845293841,18.484262722345548,19.978453,2.559148839509362e-07,12.099228,0.6153883707385676
asana workflow specialist certification,B,Broad match,existing searches,8.75000024692913,20.401951664010003,18.657946103135064,20.40195,8.278283623042171e-07,12.365727,0.6096598338386531
bms system training,USA,Phrase match,existing searches,1.3000000318054628,1.0593342955800005,0.291828947851271,1.0593343,1.7473310798266084e-08,0.07794559,5.791063750839415
certificate courses,A,Broad match,existing searches,0.9599999988674808,1.2373808775800017,0.1391775761502529,1.2373807,1.3455326808298196e-07,0.10637891,8.96696172650983
clickup,A,Broad match,existing searches,1.7399999811876623,1.2709803642000006,0.3153291405404852,1.2709805,-1.1313306824689564e-07,0.31075823,7.1734568256736875
cm2 certification,A,Phrase match,existing searches,0.6400000125806202,0.8367288279700004,0.0507512855696402,0.83672905,-2.217126168213568e-07,0.0,16.393673717154368
cmu software architecture,USA,Broad match,existing,1.3000000318054628,1.4360387059800002,0.2918290826432081,1.4360387,-2.6548686360428064e-08,0.16449314,5.791061076024782
construction management courses,USA,Phrase match,existing,0.9599999988674808,0.9601502416799998,0.139177441425178,0.96015036,-1.193810963417974e-07,-0.029488683,8.966970406613285
course monitoring and evaluation,USA,Broad match,existing searches,1.3000000318054628,1.0830444252500009,0.291828886271424,1.0830444,1.5498108574263373e-08,0.11987114,5.791064972832291
cpim course online,USA,Broad match,existing searches,1.300000031805463,0.874199164480001,0.2918290024698081,0.8741992,-4.711744161500776e-08,0.16449314,5.791062666987477
design patterns certification,A,Broad match,existing searches,8.750000246929128,4.648492043550002,2.6122953348708027,4.6484923,-2.9272319146400605e-07,2.5478814,4.354408235993135
design patterns certification,B,Phrase match,existing searches,1.3000000318054408,2.3210379275800017,0.3623798284055022,2.3210378,1.582623747609091e-07,0.35433602,4.663615104580178
design patterns certification,B,Broad match,existing searches,14.089999737299422,38.809589856950005,36.6011166513836,38.809586,4.285660942571212e-06,35.95099,0.5004492030380945
design thinking for software development,USA,Broad match,existing searches,1.3000000318054594,1.0864877891100009,0.2918290090120392,1.0864879,-1.0017985530019757e-07,0.16605842,5.791062537163252
design thinking for software development,A,Broad match,existing searches,0.6400000125806202,1.6642581436100012,0.0507513496341711,1.6642584,-2.1725273069428402e-07,0.0,16.393653023063987
design thinking ibm,USA,Broad match,existing searches,1.3000000318054554,1.3353014966500003,0.2918289681923587,1.3353016,-1.4099953582480398e-07,0.16605848,5.791063347190162
development courses,USA,Broad match,existing searches,1.3000000318054554,1.1019651272100008,0.291828987817148,1.1019653,-1.809793912510571e-07,0.11987114,5.791062957755244
devops course,USA,Exact match,existing searches,0.9599999988674808,0.6337280490000003,0.1391774632532352,0.633728,2.1656250348556227e-08,-0.029488683,8.966969000268188
e learning lms,USA,Exact match,existing searches,3.85000015449456,2.0675864071800003,1.0247943253471146,2.0675864,-1.4786552426926391e-08,0.14657712,4.883907021194378
e learning lms learnership,USA,Exact match,existing searches,3.85000015449456,1.5670828460800004,1.0247941850768876,1.5670829,-3.5847489865403765e-08,0.14657718,4.883907689686409
e learning lms learnership,USA,Phrase match,existing searches,3.85000015449456,1.686334229580001,1.0247941981468955,1.6863341,9.643180765017689e-08,0.14657706,4.883907627398085
e learning lms learnerships,USA,Exact match,existing searches,3.85000015449456,1.62722627688,1.0247941451127272,1.6272262,4.339763925997887e-08,0.14657718,4.8839078801454106
engineering management,USA,Broad match,existing searches,0.9599999988674808,0.99277896094,0.1391774456468786,0.99277914,-1.7476404057248376e-07,0.05705905,8.966970134616167
engineering problem solving,USA,Broad match,existing,1.3000000318054628,1.30021697168,0.291829167648628,1.3002169,5.8456733453837735e-08,0.16449308,5.7910593891763344
engineering problems,USA,Broad match,existing searches,1.3000000318054628,1.4710610982800008,0.2918292161846638,1.471061,1.0699276931092073e-07,0.16449314,5.79105842602717
ethio coders et certification online,B,Phrase match,existing searches,1.5899999746066964,1.9625251343400008,0.612565522447301,1.9625251,5.021763893608977e-09,0.4497159,3.374332852966809
ethio coders et certification online,B,Broad match,existing searches,8.750000246929128,20.15596962741,18.65794611743076,20.15597,7.659025413886411e-09,11.714891,0.6096598333715323
futures thinking certification,USA,Broad match,existing searches,0.95999999886748,0.7095998996100004,0.139177369435745,0.7095999,-1.2556595097024116e-08,0.05705905,8.96697504477477
google coursera free courses with certificate,A,Broad match,existing searches,0.6400000125806202,1.0877013120800012,0.0507514391094201,1.0877013,-8.568192155777865e-09,0.0,16.39362412090452
grow google certificate,USA,Exact match,existing searches,0.9599999988674808,0.6733209542300005,0.1391773871447343,0.67332107,-1.140568952617827e-07,0.08253294,8.966973903813098
grow google certificates cybersecurity,B,Phrase match,existing searches,13.420000094277404,37.0770023404,36.14864622935035,37.077003,-1.1386039062699638e-06,17.854803,0.4826183534473722
grow google certificates cybersecurity,B,Broad match,existing searches,13.420000094277404,37.2653646628,36.18894471326845,37.265366,-9.377859342407646e-07,18.191011,0.48208092998534324
how to do framework,USA,Broad match,existing searches,0.9599999988674808,1.0392663149400003,0.1391774682564983,1.0392663,-3.2945131289707774e-08,0.058624268,8.966968677916405
ibm free certification,A,Phrase match,existing searches,0.6400000125806202,0.9272489187400014,0.0507512328307301,0.92724913,-2.1484688217388026e-07,0.0,16.393690752888006
industrial project management,USA,Broad match,existing searches,1.30000003180546,1.1342606962500008,0.2918289125738533,1.1342608,-7.74087516308697e-08,0.16449314,5.791064450885788
learn critical thinking and problem solving,USA,Phrase match,existing searches,0.730008598076907,0.8337495576800001,0.0507513534487379,0.8337497,-1.5383351914532994e-07,0.0,18.699228946840616
learner management systems,USA,Broad match,existing searches,1.3000000318054628,1.1701767063500006,0.2918288922669012,1.1701769,-1.573203485261132e-07,0.11987114,5.791064853857787
learning management system portal,USA,Broad match,existing searches,1.3000000318054628,1.1080675596500011,0.2918289179111095,1.1080676,-7.20714954383084e-08,0.11987102,5.791064344973079
lj lms,USA,Exact match,existing searches,3.85000015449456,1.6783336179700006,1.1774458067860711,1.6783333,3.354992974546889e-07,0.14657712,4.250726591404203
lj lms,USA,Phrase match,existing searches,3.85000015449456,1.866677671970001,1.1774457994114071,1.8666774,2.685199886887091e-07,0.14657706,4.250726618027662
lj lms,A,Phrase match,existing searches,0.6400000125806202,0.9239325273600008,0.0507514226999666,0.9239326,-8.458229039387535e-08,0.0,16.393629421453713
llamasoft certification,A,Broad match,existing searches,0.6400000125806202,1.1505435707700014,0.0507515671384095,1.1505436,2.5150770355253366e-10,0.0,16.393582765351436
lms,USA,Exact match,existing searches,3.85000015449456,2.0467682006800008,1.1774457815134358,2.0467677,4.890405964630418e-07,0.14657724,4.250726682641578
lms,USA,Phrase match,existing searches,3.85000015449456,2.1660195841800007,1.177445913792733,2.1660192,3.829013142109261e-07,0.146577,4.250726205096809
lms,A,Exact match,existing searches,3.85000015449456,2.893853156980001,1.8405813865027056,2.8938532,-3.0581034593524243e-08,0.7840119,2.7192496009931646
lms,A,Broad match,existing searches,19.18000059351549,13.27958264475,12.289809132863404,13.279582,6.211293950286745e-07,6.905492,2.0288354767769095
lms learning program,USA,Exact match,existing,1.3000000318054628,1.09686019928,0.2918288400842908,1.0968602,2.891562012052873e-08,0.18996716,5.791065889371894
lms learning program,USA,Broad match,existing,1.3000000318054628,1.1993869128800003,0.2918289485550494,1.1993868,7.778173394257237e-08,0.11987102,5.791063736873613
lms programme,USA,Phrase match,existing searches,3.85000015449456,2.183206499680001,1.0247941623768395,2.1832058,6.567081993757995e-07,0.2585987,4.883907797869051
