Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
best systems thinking courses,A,Broad match,existing,0.5500000096529624,1.3069730000400002,0.2227068142795021,1.306973,1.9540732587586266e-08,3.210499035972514,0.0
business dynamics,A,Broad match,existing searches,1.3599999169892292,1.5589412084499996,0.5305894246975582,1.5589412,-3.6629040911506656e-08,3.332143103104208,0.107434034
certificate courses,A,Phrase match,existing searches,0.5500000096529334,0.9871998123570004,0.033316700880102,0.9872001,-2.6899141891689737e-07,21.460708703479057,0.0
certificate in design thinking,B,Phrase match,existing searches,14.440000455897692,32.97731334669001,31.42416030866511,32.977314,-6.486713175490877e-07,0.5973747717768192,11.497988
certificate in design thinking,B,Broad match,existing searches,14.440000455897714,33.255192067470006,31.53515687211936,33.25519,2.644914900429285e-07,0.5952721487573636,10.127343
certificate in systems thinking,USA,Exact match,existing searches,0.5500000096529325,0.5334579128500003,0.0333169478651065,0.53345793,-2.20064144684784e-08,21.460549611077848,0.0
codedamn courses,USA,Exact match,existing searches,0.5500000096529118,0.6738769545100005,0.0333169235728056,0.673877,-4.62987153060368e-08,21.46056525856405,0.0
codedamn courses,USA,Phrase match,existing searches,0.5500000096529192,0.6579783338100005,0.0333168881923247,0.6579784,-8.167919629542555e-08,21.460588048361355,0.0
complex problem solving,USA,Exact match,existing searches,1.3599999169892292,0.99231830961,0.3183555377174523,0.99231845,-1.4179457163976394e-07,5.55353899216648,0.1720388
computer course,USA,Broad match,existing searches,0.5500000096529334,0.8683659259400002,0.0491704169830909,0.86836594,-1.749185407629028e-08,14.54126396354729,0.0
course on systems thinking,USA,Broad match,existing searches,0.5500000096529316,1.21596228604,0.2227067304102699,1.2159623,-4.723854862831445e-09,3.210500245015674,0.0
course system engineering,USA,Broad match,existing searches,0.5500000096529906,1.1352540742900006,0.222706724360191,1.1352541,-7.037857852054685e-08,3.210500332232871,0.0
coursera systems engineering,USA,Broad match,existing searches,0.5500000096529263,1.2349417522200004,0.2227068259962454,1.2349417,3.125747594090456e-08,3.2104988670659718,0.0
coursera systems engineering,A,Broad match,existing searches,0.5500000096529624,1.3756018482200003,0.2227068744651175,1.3756018,7.972634796793444e-08,3.210498168348374,0.0
courses on systems thinking,USA,Broad match,existing searches,0.55000000965296,1.21596228604,0.2227067304102699,1.2159623,-4.723854862831445e-09,3.21050024501584,0.0
design patterns certification,B,Phrase match,existing searches,12.26000061227997,29.4902543504,27.54426235744956,29.490257,-2.9127835929898538e-06,0.578632333265349,9.878117
design patterns certification,B,Broad match,existing searches,14.440000455897714,38.75633875178,36.70746890352866,38.756336,2.5396217964157586e-06,0.5113945786347174,11.015657
design thinking for software development,USA,Broad match,existing searches,1.0600000398929796,0.9639337593300008,0.2710825139267109,0.96393394,-1.8537214774294602e-07,5.083323272682302,0.01185751
e learning lms,USA,Phrase match,existing searches,0.5500000096529565,0.5349335284270004,0.2614654512442306,0.5349336,-9.822476354504064e-08,2.7345869565037626,0.0
e learning lms,USA,Broad match,existing searches,0.5500000096529511,0.638149290837,0.2199151213538152,0.63814944,-1.494515436961663e-07,3.251254430105756,0.0
e learning lms,A,Phrase match,existing searches,0.5500000096529172,0.8192812112269999,0.2614653614459635,0.8192814,-1.8802303058951253e-07,2.7345878956764222,0.0
e learning lms learnerships,USA,Broad match,existing searches,0.5500000096529623,0.5785380988900003,0.2199151306931314,0.57853824,-1.4011222748688828e-07,3.251254292032133,0.0
e lms,USA,Phrase match,existing searches,0.5500000096529623,0.6151824972370001,0.2077805778720709,0.61518264,-1.4093133482440126e-07,3.441130156972956,0.0
e lms,USA,Broad match,existing searches,0.5500000096529511,0.6278740445169999,0.2199151793512894,0.6278742,-1.5105871420395545e-07,3.2512535726636025,0.0
e lms,A,Broad match,existing searches,0.5500000096529192,0.7957172224169999,0.2199150750285416,0.7957174,-1.957768172022867e-07,3.251255114984723,0.0
embedded systems certificate,A,Exact match,existing searches,1.3599999169892103,1.03329951469,0.3767449945598424,1.0332997,-1.698345362122211e-07,4.692829148670065,0.17203873
embedded systems certificate,A,Phrase match,existing searches,1.359999916989219,1.1218579277900005,0.3767449722197793,1.121858,-7.296530979417072e-08,4.692829426943481,0.17203873
embedded systems certificate,A,Broad match,existing searches,14.440000455897714,9.79976146607,8.951770535989587,9.799763,-1.2597600775876572e-06,2.0970153912230334,4.952718
engineering problems,USA,Broad match,existing searches,1.0600000398929796,1.2392827853300008,0.2710826381780538,1.2392828,-6.112080486175843e-08,5.083320942729534,0.06460476
free online mba courses with certificates,A,Broad match,existing searches,1.0600000398929796,1.1616984353800006,0.3246382818956561,1.1616985,-2.51989178412515e-08,4.244724447820312,0.0
freecodecamp courses with certificate,USA,Phrase match,existing searches,2.640000044596288,0.8420347777,0.4224357214561035,0.842035,-2.178558776710915e-07,8.12431308163366,0.17699623
freecodecamp courses with certificate,A,Broad match,existing searches,0.5500000096529334,1.2614662673700008,0.0491704967248591,1.2614663,2.64526933690945e-09,14.541240381395848,0.0
google certificate courses,USA,Exact match,existing searches,0.550000009652919,0.5803268355769997,0.0333168310565834,0.580327,-1.3881493754475116e-07,21.460624851579656,0.0
google coursera free courses with certificate,USA,Exact match,existing searches,0.5500000096529261,0.4883539562599999,0.0333168988602501,0.48835403,-7.101127080799685e-08,21.46058117677513,0.0
grow google certificate,A,Phrase match,existing searches,0.5500000096529225,0.8583060656800001,0.0333169256462781,0.85830617,-1.0382988757662305e-07,21.46056392297029,0.0
how to solve any programming problem,USA,Exact match,existing searches,1.3599999169892008,1.0722480400200007,0.2555240972633479,1.0722482,-1.8042372484927682e-07,6.919112173846473,0.1720388
how to solve any programming problem,USA,Phrase match,existing searches,1.35999991698921,1.1066588259200008,0.2555241084555537,1.1066589,-1.0962687424509457e-07,6.919111870782643,0.1720388
https www theforage com simulations cbre project management x2vz,USA,Broad match,existing searches,0.5500000096528757,0.8447368529700001,0.0491703537367542,0.84473693,-8.073819079967849e-08,14.541282667533164,0.0
human centered systems thinking course,USA,Broad match,new,0.5500000096529624,1.2097325427700003,0.2227066261936148,1.2097327,-1.0894050994636473e-07,3.210501747385148,0.0
industrial engineering crash course,USA,Broad match,existing searches,1.0600000398929796,1.047779931400001,0.2710826533772348,1.04778,-1.05526268612266e-07,5.083320657715668,0.06460482
it short courses,A,Broad match,existing searches,0.5500000096529154,0.98280647504,0.0491704057422095,0.9828065,-2.873273552417288e-08,14.541267287835502,0.0
learn software engineering,USA,Broad match,existing searches,1.0600000398929796,1.1177167340500007,0.2710827037078986,1.1177167,6.401368479735936e-08,5.083319713919183,0.011857629
learn system design,A,Exact match,existing searches,1.0600000398928993,1.5886864953700006,0.3087847524348199,1.5886866,-9.005632994885104e-08,4.462655752899086,0.011857629
learning software engineering for beginners,USA,Broad match,existing searches,1.0600000398929796,1.1408772848800006,0.271082677717525,1.1408772,3.802331116631309e-08,5.083320201288496,0.011857629
learning to solve problems,USA,Exact match,existing searches,1.060000039892979,1.082419756490001,0.2552291189015003,1.0824199,-1.1579393421889961e-07,5.399070677326122,0.06460482
learning to solve problems,USA,Phrase match,existing searches,1.0600000398929796,1.106868043190001,0.2552291300353992,1.1068681,-1.0466003530495985e-07,5.3990704418016495,0.06460482
lj lms,USA,Phrase match,existing searches,0.5500000096529624,0.48193033894,0.2077805634349341,0.48193046,-1.2556614925607334e-07,3.441130396071677,0.0
lj lms,USA,Broad match,existing searches,0.5500000096529609,0.4946218862200002,0.219915164914153,0.49462205,-1.6549585057923366e-07,3.251253786104108,0.0
lms,USA,Phrase match,existing searches,1.0600000398929748,0.9551593862670004,0.4296928845542013,0.95515937,2.0136171507978418e-08,3.2069417516431944,0.0
lms,USA,Broad match,existing searches,1.06000003989298,0.9678509335470002,0.4418274860334199,0.967851,-4.959585253594413e-08,3.11886447860476,0.0
lms,A,Phrase match,existing searches,1.0600000398929796,1.176558140267,0.4832482967268083,1.1765583,-1.158822919844483e-07,2.8515362830960784,0.0
lms,A,Broad match,existing searches,0.5500000096529192,0.913781884237,0.2199152141053165,0.91378194,-5.6700042327939584e-08,3.2512530588556023,0.0
lms learning program,USA,Exact match,existing,2.640000044596319,0.8823453132499998,0.4450985733856504,0.88234556,-2.4396282982674933e-07,7.710651669515911,0.7964101
lms learning program,USA,Phrase match,existing,25.3600008812984,10.5860618161,10.124366800669549,10.5860615,3.384388662652782e-07,3.2563025219026707,5.9968715
lms learning program,USA,Broad match,existing,25.3600008812984,10.4072926304,9.835712458814918,10.407293,-6.893021478049377e-07,3.3518671152430333,6.76409
lms learning program,A,Phrase match,existing,25.3600008812984,18.1397099987,16.859350730511522,18.13971,5.260437490051117e-07,1.955472762425155,13.338072
lms learning program,A,Broad match,existing,25.3600008812984,17.531812866,16.141568501261535,17.531813,1.9815331953054738e-07,2.042428599371327,13.711137
lms programme,USA,Phrase match,existing searches,0.5500000096529618,0.4494683475599998,0.2077805132971519,0.44946846,-1.1609928662892345e-07,3.4411312264221414,0.0
lms programme,USA,Broad match,existing searches,0.550000009652944,0.4775233750399998,0.219915140157645,0.4775235,-1.306477138141027e-07,3.2512541521074145,0.0
lms programme,A,Broad match,existing searches,0.5500000096529624,0.7618710578400003,0.2199151695686685,0.76187116,-1.0123669036410377e-07,3.2512537172911684,0.0
masters in systems thinking,USA,Broad match,existing searches,0.5500000096529192,1.12652687209,0.2227067150389137,1.126527,-7.969985582612082e-08,3.210500466606328,0.0
metadata certification,A,Phrase match,existing searches,0.5500000096529334,0.8045833645870001,0.0333167849590093,0.80458355,-1.849125116359929e-07,21.46065454480379,0.0
microsoft certificate courses,A,Broad match,existing searches,0.5500000096529334,0.93850244694,0.0491702716851781,0.9385026,-1.6278976688877125e-07,14.541306932911317,0.0
microsoft courses with certificate,USA,Phrase match,existing searches,0.990000016723581,0.72782668787,0.1587885351752979,0.72782683,-1.458549755417593e-07,8.105119304235945,0.0
microsoft courses with certificate,A,Exact match,existing searches,0.8099999909719721,0.88530906367,0.1204816930263842,0.8853093,-2.152949963862838e-07,8.7399169269058,0.0
mit opencourseware physics,USA,Exact match,existing searches,1.3599999169892272,1.163946980650001,0.3519647661991645,1.163947,-5.548424608647906e-09,5.02322977148669,0.21020794
mit opencourseware physics,A,Broad match,existing searches,1.3599999169892223,1.5035968500300003,0.5305894690676287,1.5035968,6.734567437050032e-08,3.3321428244567,0.21020782
mit systems thinking course,USA,Broad match,existing,0.5500000096529624,1.1663129040400002,0.2227067062059853,1.1663129,-2.892813943944361e-08,3.210500593940513,0.0
mit systems thinking course,A,Broad match,existing,0.440000007069411,1.0842662426400005,5.687950244137596e-08,1.0842662,5.687950244137596e-08,0.0,0.0
problem solving courses,USA,Broad match,existing searches,1.0600000398929694,1.1962378449000013,0.2710825628794324,1.196238,-1.9602407097529809e-07,5.08332235472388,0.06460476
problem solving in c programming,USA,Phrase match,existing searches,1.3599999169892292,1.1445150198500007,0.255524081186518,1.144515,-1.7686620390477973e-08,6.919112609176977,0.1720388
simulation and modeling,USA,Broad match,existing searches,0.5500000096529334,0.978223113596,0.0491705818767922,0.978223,8.779720239715517e-08,14.54121519937276,0.0
software architecture courses,A,Broad match,existing searches,1.3599999169892292,1.8674279964200005,0.5305893934002861,1.8674281,-6.79263130187735e-08,3.332143299653537,0.119291544
software development certificate,A,Exact match,existing searches,1.0600000398929796,0.8650966150800007,0.3087847693005817,0.86509675,-1.3279521293707577e-07,4.462655509150068,0.06460482
software development certificate,A,Broad match,existing searches,0.6099911620601193,1.864163868,0.0491701288718873,1.8641641,-2.459984129732362e-07,16.127444220133846,0.0
system architect course,A,Broad match,existing searches,0.5500000096529192,1.3525393743900005,0.2227067490009011,1.3525394,-4.5737868381579005e-08,3.210499977016422,0.0
system design certification,USA,Broad match,existing,1.0600000398929796,1.183938379626001,0.2710827544734131,1.1839384,-4.430090294604838e-09,5.083318761968767,0.06460476
system design certification,A,Phrase match,existing,5.970000064807167,4.2358356035460005,2.9251329220045577,4.235836,-4.255067338476693e-07,2.6532127910723453,1.3288907
system design certification,A,Broad match,existing,20.59999985756073,16.356950490200003,14.843885867320974,16.35695,-2.696876926222558e-07,1.8041097899968024,11.69015
system design certification,B,Exact match,existing,12.260000612279978,30.067112287400004,28.674767097351783,30.067114,-1.5889427693593916e-06,0.5558197122178511,24.766598
system design certification,B,Phrase match,existing,12.260000612279972,31.024152385100003,29.54828868995535,31.024153,-3.706373021827858e-07,0.5393882861778703,25.877905
system design certification,B,Broad match,existing,14.44000045589771,40.55376944038,38.87554392310705,40.55377,1.2824210173789652e-06,0.4828742880047325,30.24094
system design mooc,USA,Exact match,existing searches,0.9900000167236234,0.7231301723000007,0.1051036773201422,0.7231303,-1.1343989803069833e-07,12.24505226225865,0.011857629
system design mooc,USA,Phrase match,existing searches,25.3600008812984,10.0965261511,9.444088881412348,10.096525,9.588392586579175e-07,3.490860956484096,1.2407477
system design thinking course,USA,Broad match,new,0.5500000096529334,1.1025106080200004,0.2227066524650383,1.1025107,-8.266908646525908e-08,3.2105013686605437,0.0
system engineering and project management,A,Broad match,existing searches,5.97000006480717,4.2336074473,3.31770340219502,4.2336073,1.5512470685763446e-07,2.339268808391546,1.5585407
system thinking course,USA,Broad match,existing,0.5500000096528339,1.2002797849200002,0.2227066881678334,1.2002798,-4.6966291300520886e-08,3.2105008539746005,0.0
system thinking course free,USA,Broad match,new,0.5500000096529624,1.1061762655700007,0.222706624361352,1.1061764,-1.107727727323038e-07,3.210501773798744,0.0
system thinking courses,USA,Broad match,existing searches,0.5500000096529374,1.20973254277,0.2227066261936146,1.2097327,-1.0894051016840933e-07,3.210501747385005,0.0
systems course,USA,Broad match,existing searches,0.5500000096529624,1.20097487134,0.2227067844297523,1.2009748,4.9295627579937225e-08,3.210499466280881,0.0
systems thinking book pdf,USA,Broad match,existing searches,0.5500000096529624,1.2002797849200006,0.2227066881678339,1.2002798,-4.696629085643168e-08,3.2105008539753426,0.0
