Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
360 learning,USA,Phrase match,existing searches,0.9599999988674808,1.12002499018,0.1391772142438734,1.1200252,-1.6774846667289014e-07,0.082533,8.966985043549702
360 learning,A,Broad match,existing searches,0.6400000125806202,1.0718345561800011,0.050751439648629,1.0718347,-1.2723827280680666e-07,0.0,16.393623946730386
academy for systems change,USA,Broad match,existing searches,1.3000000318054628,1.1712706024100004,0.2918289834906278,1.1712707,-1.257012667288393e-07,0.16605842,5.791063043610871
asana workflow specialist certification,B,Broad match,existing searches,10.229999717885027,21.601759559910004,19.857753999035065,21.601759,6.030008243840257e-07,16.872637,0.6697131827646151
best pmp certification,A,Exact match,existing searches,0.6400000125806202,0.7700835774800006,0.0507513593098345,0.7700837,-1.4797242253727918e-07,0.0,16.393649897640927
best problem solving courses,USA,Broad match,existing searches,0.9599999988674808,1.2393512632500006,0.1391774322639776,1.2393513,-9.333007255918346e-09,0.012436986,8.966970996854185
clickup,USA,Phrase match,existing searches,0.9599999988674808,0.9266028636,0.0884257786772095,0.926603,-1.55637518206575e-07,0.016698718,14.11353133890332
clickup,USA,Broad match,existing searches,0.9599999988674808,0.8601276616,0.0884258488558593,0.8601277,-2.5854223650867425e-08,0.058624387,14.113520137782988
clickup,A,Phrase match,existing searches,1.3000000318054248,1.2632038697000003,0.2410773142571904,1.263204,-1.088385126468694e-07,0.1734528,7.010199389993603
cm2 certification,A,Broad match,existing searches,0.6400000125806202,1.0865441825700008,0.0507513549637996,1.0865443,-9.27138126272098e-08,0.0,16.3936513014926
cmu software architecture,USA,Broad match,existing,0.6400000125806202,1.1949610966799995,0.0507514733432077,1.1949612,-9.354369412406528e-08,0.0,16.393613062785235
complex problem solving,USA,Broad match,existing searches,1.3000000318054628,1.4091467664700006,0.2918292091351007,1.4091467,9.994320615547281e-08,0.21068048,5.791058565918689
design patterns certification,B,Phrase match,existing searches,7.350000127839146,15.032689255950002,13.074031156775504,15.032691,-1.7459420877941056e-06,11.955301,0.7308381058308167
design patterns certification,B,Broad match,existing searches,10.229999717885027,26.27022058145,24.061747375883595,26.27022,7.785935558501933e-07,20.243208,0.5527029864248241
e learning lms,USA,Exact match,existing searches,0.6400000125806202,1.0935435470699997,0.0507514652371139,1.0935436,-1.0164978792026605e-07,0.0,16.39361568119565
e learning lms,USA,Phrase match,existing searches,0.6400000125806202,1.1967210358700004,0.0507514065822807,1.1967212,-1.603046211329229e-07,0.0,16.39363462776005
e learning lms learnership,USA,Phrase match,existing searches,0.6400000125805851,0.7122913694700006,0.0507513380368951,0.71229154,-1.6924536194729e-07,0.0,16.393656769205084
e learning lms learnerships,USA,Exact match,existing searches,0.6400000125806202,0.6531834167700001,0.0507512850027271,0.65318364,-2.222795298933989e-07,0.0,16.393673900278568
e learning lms learnerships,USA,Phrase match,existing searches,0.6400000125806202,0.6872682350700006,0.05075130639721,0.68726844,-2.008850470414103e-07,0.0,16.39366698943822
e lms,USA,Exact match,existing searches,0.6400000125806202,0.8592482940600004,0.0507513420031155,0.85924846,-1.6527914148412037e-07,0.0,16.39365548804073
e lms,USA,Phrase match,existing searches,0.6400000125806202,0.9784996775600008,0.0507512954684785,0.9784998,-1.522091337413656e-07,0.0,16.39367051963352
enterprise architecture,A,Broad match,existing searches,0.9599999988674808,1.135746140250001,0.0884260127628187,1.135746,1.3805273568756604e-07,0.10637891,14.113493976881916
ethio coders et certification online,B,Broad match,existing searches,2.180000017071265,2.682343167840002,1.1843196578607538,2.6823428,4.001245477169846e-07,0.8261914,2.3929350521055452
free it courses with certificate,USA,Broad match,existing searches,0.9599999988674808,0.9961238073500006,0.1391772793920843,0.9961239,-1.0260025573582965e-07,0.05705893,8.966980846147399
freecodecamp full stack certification,USA,Broad match,existing searches,1.3000000318054628,1.0410835402800005,0.2918289559675613,1.0410836,-3.4015043670621026e-08,0.11987108,5.7910635897794736
grow google certificates cybersecurity,B,Exact match,existing searches,13.420000094277404,36.940091191300006,36.04581993676052,36.940094,-2.8028406191538124e-06,17.73567,0.4839950971615633
grow google certificates cybersecurity,B,Phrase match,existing searches,4.829999913477237,3.585193335300001,2.656837224250349,3.5851934,-6.0314623073765e-08,5.389287,2.363336312141624
grow google certificates cybersecurity,B,Broad match,existing searches,4.829999913477266,3.906940604800001,2.8305206552684457,3.906941,-3.322422355012123e-07,5.558057,2.2183197553543192
ibm free certification,A,Broad match,existing searches,0.6400000125806202,1.0108054176400012,0.0507513180802172,1.0108057,-3.08411329363878e-07,0.0,16.393663215598707
