Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
alxafrica courses,USA,Broad match,existing searches,0.6400000153411588,0.8059400054180005,0.3227297397815564,0.80594015,-1.457965991269461e-07,0.036887646
certificate in systems thinking,USA,Broad match,existing searches,0.4800000117783616,3.2848833558470005,0.4181791303068394,3.2848828,5.719572300222353e-07,0.036887407
certificate in systems thinking,A,Broad match,existing searches,0.4800000117783616,3.561811431747001,0.4181787813716346,3.561811,4.614406043934594e-07,0.036887407
certification in project management,USA,Broad match,existing searches,0.4800000117782658,3.1859723469270005,0.4181786915314927,3.185972,3.716004624010338e-07,0.036887407
certification in project management,A,Broad match,existing searches,0.4800000117783609,3.3431327236270003,0.4181787860964827,3.3431323,4.661654524618087e-07,0.036887407
codedamn courses,USA,Broad match,existing searches,0.6400000153411691,0.8662348354980001,0.3227298225089559,0.8662349,-6.306919964060853e-08,0.036887646
coding certificate free,USA,Exact match,existing searches,0.6400000153411589,0.8716998421030009,0.3106987797098124,0.8716999,-8.713436483454019e-08,0.036887586
complex problem solving,USA,Exact match,existing searches,0.6699999883511624,0.9073977539270002,0.4360448190896588,0.9073981,-3.50740663401794e-07,0.036887586
complex problem solving,USA,Phrase match,existing searches,0.6699999883510422,0.9993339998670004,0.4360450727887532,0.9993343,-2.758555033288701e-07,0.036887586
complex problem solving,USA,Broad match,existing searches,0.6699999883510482,1.0467924018020005,0.4480759043807358,1.0467929,-4.629974990066899e-07,0.036887646
complex problem solving,A,Exact match,existing searches,0.6699999883510455,1.0438311463269998,0.4360452061567117,1.0438316,-4.40510768751068e-07,0.08620751
complex problem solving,A,Phrase match,existing searches,0.6699999883511625,1.1564943765670004,0.4360451673537435,1.1564949,-4.793137369230038e-07,0.08620751
complex problem solving,A,Broad match,existing searches,0.6699999883511646,1.2039527785020003,0.4480759989457259,1.2039531,-3.6843250894591517e-07,0.08620751
construction management certificate,USA,Exact match,existing searches,0.6699999883511629,0.7053092320370008,0.3895895977424909,0.7053093,-3.9775438165357e-08,0.036887586
construction management certificate,USA,Phrase match,existing searches,0.6699999883510627,0.7687550128370007,0.3895896316438396,0.768755,-5.874089437085672e-09,0.036887586
construction management certificate,USA,Broad match,existing searches,0.6699999883511625,0.8173894796120006,0.4016206476436931,0.8173896,-1.2781750380330692e-07,0.036887586
course on systems thinking,USA,Broad match,existing searches,0.480000011778362,1.2530582683270008,0.2751684920971424,1.2530583,-4.599642444702568e-08,0.036887586
coursera,USA,Phrase match,existing searches,0.6400000153411578,0.4512732017570006,0.34198906158738,0.4512732,-1.1391175780417482e-09,0.036887586
coursera,USA,Broad match,existing searches,0.6400000153411578,0.4987316036920001,0.3540201986531665,0.4987318,-1.882811139219953e-07,0.036887586
coursera,A,Broad match,existing searches,0.6400000153411588,0.7756596795920003,0.3540201477411855,0.7756598,-1.199838053356217e-07,0.036887586
coursera certificate,USA,Exact match,existing searches,0.6400000153411588,0.4919775033170003,0.3419892096692342,0.4919774,1.096898335495311e-07,0.036887586
coursera certificate,USA,Phrase match,existing searches,0.640000015341156,0.5471936633569999,0.3419891765100761,0.5471936,7.653067546353753e-08,0.036887586
coursera certificate,USA,Broad match,existing searches,0.6400000153411571,0.6589131754720003,0.3540202182614596,0.6589133,-1.3887049843397392e-07,0.036887586
cto course,USA,Exact match,existing searches,0.6400000153411571,0.4202974115370003,0.3419891794083801,0.42029727,1.4648420487706204e-07,0.036887586
cto course,USA,Phrase match,existing searches,0.6400000153411588,0.4755135715770006,0.3419891238974809,0.47551352,5.372040268181166e-08,0.036887586
cto course,USA,Broad match,existing searches,0.6400000153411569,0.8652337532120002,0.3540202121811164,0.8652338,-2.574155200107953e-08,0.036887586
cto course,A,Broad match,existing searches,0.6400000153411588,1.1421618291120008,0.3540203400830701,1.142162,-1.362581774078109e-07,0.036887586
define training,USA,Broad match,existing searches,0.4800000117783619,0.4822356778030012,0.1668295639400099,0.48223573,-5.189136520478144e-08,0.036887586
donella meadows systems thinking pdf,USA,Exact match,existing searches,0.6400000153411587,0.6827322783270008,0.3419891836443073,0.6827322,5.3862584281638703e-08,0.036887586
donella meadows systems thinking pdf,USA,Phrase match,existing searches,0.6400000153411589,0.7746685242670004,0.341989198924822,0.77466846,6.914309902406046e-08,0.036887586
donella meadows systems thinking pdf,USA,Broad match,existing searches,0.6400000153411578,0.9008596621420004,0.354020067300997,0.90085983,-1.706216714580933e-07,0.036887586
edx mooc org,USA,Exact match,existing searches,0.6400000153411588,0.500225021037,0.3419891134823735,0.5002249,1.327122624017463e-07,0.036887586
edx mooc org,USA,Phrase match,existing searches,0.6400000153411588,0.6003908877370002,0.3419891660210731,0.6003908,9.584399485174089e-08,0.036887586
edx mooc org,USA,Broad match,existing searches,0.6400000153411589,0.7665436393520003,0.3540203995010024,0.7665436,1.2566721996343231e-08,0.036887586
free business courses with certificate,USA,Exact match,existing searches,0.6400000153411589,0.5601276086529997,0.3106988744696882,0.5601275,1.1193363935735334e-07,0.036887586
free business courses with certificate,USA,Broad match,existing searches,0.6400000153411589,0.6015693115080005,0.3227298425520069,0.6015694,-1.0263079341932269e-07,0.036887586
free business courses with certificate,A,Phrase match,existing searches,0.6400000153411588,0.8922718445930001,0.3106988351020333,0.8922719,-3.174214391332697e-08,0.036887586
free systems thinking course,USA,Broad match,new,0.4800000117783611,1.0721986840470006,0.2751682947380711,1.0721989,-1.837508509794361e-07,0.036887646
freecodecamp courses,USA,Exact match,existing searches,0.6400000153411588,0.7588737352070007,0.3419890446838531,0.75887376,-2.5493225086492544e-08,0.036887586
freecodecamp courses,USA,Phrase match,existing searches,0.6400000153411582,0.8508099811470006,0.3419890301620457,0.85081,-1.021271012202618e-08,0.036887586
freecodecamp courses,USA,Broad match,existing searches,0.6400000153411662,0.728651618762001,0.3540201840829696,0.7286517,-8.364202119803822e-08,0.036887586
freecodecamp courses,A,Exact match,existing searches,0.6400000153411586,0.8953071276070006,0.3419891635300047,0.89530706,6.355060411245006e-08,0.036887586
freecodecamp courses with certificate,USA,Exact match,existing searches,0.6400000153411585,0.7596227888570006,0.3419889871583159,0.7596229,-8.3018762309095e-08,0.036887586
