Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
alison courses,USA,Exact match,existing searches,0.48000000517067914,0.2652656535770008,0.049016694274098604,0.26526567,-1.982197073147063e-08
alxafrica courses,USA,Exact match,existing searches,0.8100000406884625,0.5603964002700002,0.3422839464516789,0.5603965,-9.221123153935196e-08
alxafrica courses,USA,Broad match,existing searches,0.8100000406884625,0.7824914745300005,0.2605186394660661,0.7824915,-3.061602615872516e-08
berkeley cto program,USA,Exact match,existing searches,0.8100000406884625,0.6222592384770006,0.365407267327556,0.62225926,-2.074693739029243e-08
berkeley cto program,USA,Phrase match,existing searches,0.8100000406884625,0.7263887525970001,0.34317040457072445,0.7263887,5.97411651259705e-08
certificate for project,USA,Phrase match,existing searches,0.6399999933300372,0.6379544943630002,0.18262373507611973,0.6379546,-9.834177272516342e-08
certificate program in construction management,USA,Broad match,existing searches,0.8100000406884625,0.6837079632229999,0.2605187106080249,0.683708,-4.888103455336079e-08
codedamn courses,USA,Phrase match,existing searches,0.8100000406884624,0.6547404533740001,0.3705211287852245,0.65474045,6.075816516570853e-10
coding certificate free,USA,Broad match,existing searches,0.8100000406884625,0.77377898423,0.2605186793021741,0.7737791,-1.0998920774163423e-07
coding course,USA,Phrase match,existing searches,0.8100000406884625,0.7785924068090004,0.27868053227630085,0.7785924,-8.943992213517049e-10
coding courses,USA,Phrase match,existing searches,0.8100000406884625,0.7930079496390001,0.2786804831511156,0.79300797,-2.0217262086674737e-08
complex problem solving,USA,Exact match,existing searches,0.8100000406884625,0.9612530967690003,0.2735665938354981,0.96125305,4.9779559363472003e-08
comptia a,USA,Exact match,existing searches,0.6399999933300372,0.34552000557300117,0.29670122732636,0.34552005,-4.3760571222239975e-08
construction management certificate,USA,Broad match,existing searches,1.1000000010805968,0.8917746970530007,0.44836757873253563,0.8917748,-7.654471656515227e-08
course monitoring and evaluation,USA,Exact match,existing searches,0.8100000406884625,0.5644149918370006,0.20956329892203784,0.56441504,-4.579498791290604e-08
course on systems thinking,USA,Broad match,existing searches,0.6399999933300372,1.33236095631,0.36345455372210944,1.3323611,-1.457941869453805e-07
coursera,USA,Exact match,existing searches,0.9900000218687395,0.5718774698070003,0.45734969296965133,0.57187736,1.0946306716608234e-07
coursera,USA,Phrase match,existing searches,0.8100000406884625,0.5840645239270003,0.34317035531165907,0.5840646,-7.89248674193388e-08
courses on systems thinking,USA,Broad match,existing searches,0.4800000051705844,1.0478551319540008,0.08644276174907528,1.0478551,-6.824685705453248e-09
cto course,USA,Exact match,existing searches,0.8100000406884625,0.3871938096640005,0.3422838891205683,0.38719392,-1.085641488929312e-07
cto course,USA,Phrase match,existing searches,0.9900000218687395,0.6337398714639999,0.46246352561496273,0.63373977,1.0200522915226884e-07
digiskills courses,USA,Exact match,existing searches,0.8100000406884625,0.5392156258170002,0.34228389113587077,0.5392156,1.4845722429157604e-09
digiskills courses,USA,Phrase match,existing searches,0.8100000406884625,0.6664684564170001,0.3431703895625232,0.66646856,-1.0427864804984921e-07
donella meadows systems thinking pdf,USA,Exact match,existing searches,0.9900000218687396,0.5430970143430008,0.4573496978633179,0.54309696,5.4752088973764046e-08
donella meadows systems thinking pdf,USA,Phrase match,existing searches,0.6399999933300372,0.4385549044630006,0.3018150395175889,0.43855497,-6.794720142089261e-08
edx certificate,USA,Phrase match,existing searches,0.8100000406884625,0.5454339703330002,0.2513298412569962,0.54543394,3.182973484783247e-08
embedded systems certificate,USA,Phrase match,existing searches,0.6399999933300372,0.5258203071270002,0.18262370645141734,0.5258204,-6.736183033595466e-08
embedded systems certificate,USA,Broad match,existing searches,0.6399999933300372,0.7887884510470002,0.19181258806711132,0.7887885,-4.6400967290693984e-08
engineering courses,USA,Phrase match,existing searches,0.8100000406884625,1.4236365627599998,0.08615625613463362,1.4236367,-1.1212098161017536e-07
engineering courses,USA,Broad match,existing searches,2.260000038413558,2.35543694968,0.8999727057911451,2.3554373,-3.2906755853545633e-07
freecodecamp courses with certificate,USA,Phrase match,existing searches,0.9900000218687395,0.8045553524430005,0.4351128299172131,0.80455524,1.1514975706283792e-07
freecodecamp courses with certificate,A,Phrase match,existing searches,0.4800000051705666,1.0248821815429998,0.1417434653221441,1.0248826,-3.734649347553187e-07
geeksforgeeks courses,USA,Phrase match,existing searches,0.8100000406884625,0.6336494818070002,0.2378004327156611,0.6336495,-4.621958060724296e-08
gestion de proyectos,USA,Exact match,existing searches,0.6399999933300372,0.6003453064460007,0.2048607397574631,0.6003454,-6.67076858196225e-08
google coursera free courses with certificate,USA,Phrase match,existing searches,0.9900000218687395,0.8543916438800004,0.43511281359015974,0.8543916,6.902038129918964e-08
google management project certificate,USA,Exact match,existing searches,0.48000000517067914,0.306072468827001,0.049016619990102206,0.30607256,-9.410596712999819e-08
google management project certificate,USA,Phrase match,existing searches,0.8100000406884625,0.5083855925270001,0.2513297436901013,0.5083856,-6.132515273371553e-09
google management project certificate,USA,Broad match,existing searches,0.6399999933300089,0.5345217892870001,0.191812605594068,0.5345218,-2.8874010626900315e-08
google management project certificate,A,Broad match,existing searches,6.050000198408306,5.466083934787001,4.559250047686781,5.4660845,-5.454986435893261e-07
google product manager certificate,USA,Broad match,existing searches,0.6399999933299743,0.7792710728100004,0.19181264108926677,0.7792712,-1.1258810139747055e-07
google product manager certificate,A,Phrase match,existing searches,7.460000280478771,5.690888894500001,4.810582710208162,5.6908884,4.896538099430359e-07
google product manager certificate,A,Broad match,existing searches,4.590000067797534,2.53563775981,1.4344833132081325,2.535638,-3.3413836408868747e-07
google project certificate,USA,Exact match,existing searches,0.48000000517067914,0.37527892456300027,0.049016599514553616,0.37527904,-1.1458151571996922e-07
google project certificate,USA,Phrase match,existing searches,0.8100000406884625,0.7039584962630002,0.25132973473307774,0.7039586,-7.469418361605307e-08
google project management certificate,USA,Phrase match,existing searches,0.8100000406884625,0.6092776448430002,0.25132981845750213,0.60927767,-2.077208161033184e-08
google project management certificate,USA,Broad match,existing searches,0.6399999933299938,0.5854460423030003,0.19181270647421922,0.5854461,-7.700547133282498e-08
google project management certificate,A,Broad match,existing searches,6.050000198408306,5.466579417303001,4.559249917581474,5.4665794,-1.9952858032468157e-08
google project management professional certificate,USA,Broad match,existing searches,0.6399999933300372,0.8673683749100003,0.08511582478487822,0.86736846,-8.479153779106241e-08
google project manager certificate,USA,Phrase match,existing searches,0.8100000406884625,0.5573377397429999,0.2513297882449683,0.5573377,3.8422351744671346e-08
google project manager certificate,USA,Broad match,existing searches,0.639999993330008,0.5335061372030001,0.19181261665704064,0.53350616,-1.7811037977821798e-08
google project manager certificate,A,Broad match,existing searches,6.050000198408306,5.465068282703001,4.55924987993582,5.465068,4.1923864557702473e-07
grow google certificate,USA,Exact match,existing searches,0.8100000406884625,0.6527745532330018,0.27356673353276073,0.6527745,4.04652100716163e-08
how to create a system,USA,Phrase match,existing searches,0.8100000406884625,0.9072906173900008,0.37052098886522056,0.90729094,-3.1812635659100863e-07
how to solve any programming problem,USA,Broad match,existing searches,0.9900000218687395,0.6434831411400002,0.35246104903604203,0.64348316,-2.0786269372408128e-08
ibm project manager certification,USA,Broad match,existing searches,0.4800000051705666,5.6026445004,0.0864430042757327,5.6026444,5.688803739190007e-08
it course,USA,Exact match,existing searches,0.8100000406884625,0.6166908319970003,0.34228401146134046,0.6166909,-4.210273119031882e-08
it course,USA,Phrase match,existing searches,0.9900000218687395,0.863236893797,0.4624635771752196,0.8632367,1.6846664718794813e-07
it free courses with certificate,USA,Phrase match,existing searches,0.9900000218687395,0.6698929818800001,0.46246351324825574,0.66989297,1.513271619124623e-08
it short courses,USA,Exact match,existing searches,0.9900000218687395,0.5542692023900003,0.434226438739583,0.55426913,6.739167879299401e-08
