Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
adaptive management training,USA,Broad match,existing searches,1.299999984956378,0.590271274140001,0.4709043303037888,0.59027123,3.962767192167149e-08,0.0,3.5888393282623716
agile methodology certification,USA,Exact match,existing searches,1.970000062458569,0.8605609504930005,0.7786788760177121,0.86056095,-3.1240954267985903e-09,0.15746069,3.288904014313965
agile methodology certification,USA,Phrase match,existing searches,1.9700000624585707,0.9292062974930008,0.7786788053274352,0.92920643,-1.3341901716756865e-07,0.15746069,3.2889043128883406
agile methodology certification,USA,Broad match,existing searches,1.9700000624585707,2.849732288793,0.9775151104482735,2.8497317,6.0506192101073e-07,0.15746075,2.6199084329465823
application architecture course,USA,Broad match,existing searches,1.299999984956378,1.3082386551930003,0.4189667998386914,1.3082386,2.966657230984993e-08,0.011857629,4.033732460648355
asana workflow specialist certification,USA,Broad match,existing searches,1.299999984956378,1.5786930391300005,0.4189667770374101,1.5786932,-1.1234399854842537e-07,0.0,4.033732680174755
ceo training,USA,Broad match,existing searches,1.0,1.5496051980000003,0.4145426226597295,1.5496053,-5.2358581026368256e-08,0.06460464,3.1359863351544517
certificate in systems engineering,USA,Broad match,existing searches,1.0,1.247771184727,0.5516270807230939,1.2477711,4.081373106146202e-08,0.06460482,2.3566645754517896
certificate in systems thinking,USA,Broad match,existing searches,1.0,1.449645049427,0.5516271661262189,1.4496449,1.2621685607783206e-07,0.01185751,2.3566642105920947
certificate programs online,USA,Exact match,existing searches,1.0,0.9318278820270002,0.2237112314456403,0.931828,-1.399761736520233e-07,0.011857629,5.811062732967377
certificate programs online,USA,Broad match,existing searches,1.0,0.932153688527,0.5516269968518139,0.9321537,-1.3255226471997616e-08,0.011857629,2.356664933767237
cio education programs,USA,Broad match,existing searches,1.0,1.4215616397630004,0.4664850644837646,1.4215614,2.794038085340844e-07,0.011857629,2.7867987615823115
cisco courses online,USA,Broad match,existing searches,1.0,0.975262876763,0.5536291861673731,0.9752629,-3.562317441030416e-09,0.01185751,2.3481421003100515
citi leadership program,USA,Broad match,existing searches,1.0,1.181877106463001,0.5536293685784794,1.1818769,2.086511112775469e-07,0.011857629,2.3481413266386704
complex systems course,USA,Broad match,existing searches,1.0,1.2882227525169998,0.5516271218712478,1.2882227,8.196188505671388e-08,0.06460476,2.3566643996584085
cost engineer certification,A,Broad match,existing searches,20.65999974343384,18.592117727017,17.340873897289825,18.59212,-1.4899019475933528e-06,11.003672,1.5488261909719314
course monitoring and evaluation,USA,Broad match,existing searches,1.0,0.9600576174900002,0.5536291313812203,0.9600577,-5.834847027763602e-08,0.0,2.348142332678012
course system engineering,USA,Broad match,existing searches,1.0,1.0475774376530005,0.5536290674347235,1.0475774,5.6518967284091566e-08,0.01185751,2.3481426038983737
define system,USA,Broad match,existing searches,1.0,1.0531032873800006,0.5536290897538867,1.0531033,-4.037115908239741e-08,0.01185751,2.348142509234674
design patterns certification,USA,Broad match,existing searches,1.0,2.89957408294,0.4664850650719581,2.8995736,5.184105811295581e-07,0.06460476,2.7867987580684224
design thinking certification stanford,USA,Broad match,existing searches,1.0,1.1922260421630004,0.466484715354071,1.192226,-1.0121240290317246e-08,0.011857748,2.7868008472973753
designing complex systems,USA,Broad match,existing searches,1.0,1.3273877100699998,0.5516271786445237,1.3273876,1.3873516091500449e-07,0.01185751,2.3566641571113345
digitaldefynd,USA,Broad match,existing searches,1.0,1.061089099177,0.5516269810281964,1.0610892,-5.8881166387081414e-08,0.06460464,2.3566650013690147
e learning lms,USA,Broad match,existing searches,1.0,1.2535892513630005,0.4145426538822265,1.2535893,-2.1136083994122146e-08,0.06460482,3.1359860989584347
edx certificate,USA,Broad match,existing searches,1.0,1.1588652466170004,0.5516270731321982,1.1588652,3.322283537166015e-08,0.0,2.356664607881661
edx get smarter,USA,Broad match,existing searches,1.0,1.1121393902900003,0.4664847119452737,1.1121395,-7.313468231018305e-08,0.06460476,2.7868008676616856
edx mit certificate,USA,Broad match,existing searches,1.0,1.0908452467770002,0.5516269402355574,1.0908452,1.9535484119259653e-08,0.06460482,2.356665175643652
engineering certificate online,USA,Broad match,existing searches,1.0,1.11991915185,0.5516271300985962,1.1199191,9.018923341486129e-08,0.06460482,2.3566643645094865
free it courses with certificate,USA,Broad match,existing searches,1.0,1.184521848377,0.5516270939672099,1.1845218,5.4057847087563024e-08,0.011857748,2.356664518870198
free it courses with certification,USA,Broad match,existing searches,1.0,0.9589474731769998,0.5516269439545114,0.9589476,-1.2575717378560114e-07,0.01185751,2.3566651597555057
free it fundamentals course,USA,Broad match,existing searches,1.0,1.265838207497,0.5516272204059356,1.265838,1.8049657279917144e-07,0.01185751,2.3566639786980534
free online management courses harvard,USA,Broad match,existing searches,1.0,1.0671379919000004,0.4145426506944034,1.067138,3.5280737664677986e-08,0.0,3.135986123074093
free pmp prep course,USA,Exact match,existing searches,1.0,0.97345916457,0.2270631594163439,0.9734592,-1.959976936305452e-08,0.011857629,5.725279271818442
global it certifications,USA,Broad match,existing searches,1.0,1.1100956057500009,0.5536292647313239,1.1100956,-1.4405333814693222e-08,0.011857629,2.3481417670919
google coursera free courses with certificate,USA,Broad match,existing searches,1.0,0.9609534608270004,0.5516270564938859,0.9609534,4.6386845475865364e-08,0.011857629,2.356664678963964
google free project management course,USA,Broad match,existing searches,1.0,1.2120185852900005,0.4145425916567302,1.2120186,-2.37569355299172e-08,0.011857629,3.13598656969002
google it support professional certificate,USA,Broad match,existing searches,1.0,0.9355556849600006,0.5536291782022644,0.93555564,4.807721865063287e-08,0.06460482,2.348142134092966
google it support professional certificate coursera,USA,Broad match,existing searches,1.0,0.8506909465600007,0.553629175405597,0.85069096,-1.4324093577933183e-08,0.06460482,2.3481421459546468
google management project certificate,USA,Broad match,existing searches,1.0,1.0843837996000008,0.4145426292890266,1.0843838,-4.5729283915108e-08,0.06460482,3.1359862850042783
grow google certificates cybersecurity,USA,Broad match,existing searches,1.0,2.84209179654,0.4145429111945411,2.8420913,4.745948096740449e-07,0.01185751,3.1359841524100314
healthcare systems engineering certificate,USA,Broad match,existing searches,1.0,1.1128280065270004,0.5516272685738144,1.1128278,2.2866445159586135e-07,0.06460476,2.35666377291507
healthcare systems engineering certificate,A,Phrase match,existing searches,20.65999974343384,17.949465485727,17.123962434446025,17.949469,-3.12694389847934e-06,11.524386,1.5684453740938653
healthcare systems engineering certificate,A,Broad match,existing searches,20.65999974343384,18.634594590727,17.79925111061683,18.634596,-1.2802446818227509e-06,11.2494335,1.5089398705344315
how to become a it specialist,USA,Broad match,existing searches,1.2999999849563793,1.1078547121600013,0.5580534817293983,1.1078546,1.0743893197329157e-07,0.01185751,3.028383543466142
how to design a system software,USA,Broad match,existing searches,1.0,2.0626759921200004,0.2063563262111869,2.062676,3.920862345907494e-08,0.01185751,6.299782632636949
how to learn it at home,USA,Broad match,existing searches,1.0,1.08370281847,0.5516269365119921,1.0837029,-1.0339737066544785e-07,0.06460476,2.3566651915514982
