Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
altium pcb design course,USA,Broad match,existing searches,1.0,1.0429775364,0.5919652528363861,1.0429776,-3.5087426741853285e-08,0.06460476
archetypes systems thinking,USA,Broad match,existing searches,1.0,1.45612182812,0.6522824426105092,1.4561217,1.449992725888194e-07,0.01185751
archetypes systems thinking,A,Broad match,existing searches,1.0,1.68648360931,0.6522824641378808,1.6864834,2.261312890272649e-07,0.01185751
aztech training,USA,Broad match,existing searches,1.0,1.1530710324400002,0.5919651850812966,1.1530712,-1.326448386684831e-07,0.0
best bim certification,USA,Broad match,existing searches,1.0,0.933037500206,0.6287499771747652,0.9330375,-1.924895609572985e-08,0.0
best computer architecture course,USA,Broad match,existing searches,1.0,1.3384459621899998,0.5919651992314732,1.3384459,6.031927224370294e-08,0.01185751
best courses for project management,USA,Broad match,existing,1.0,1.1028620175599997,0.5919652156114523,1.1028621,-1.0211468293164216e-07,0.06460476
best leadership courses,USA,Broad match,existing searches,1.0,1.45142794119,0.5919652031528906,1.4514279,4.636044881323187e-09,0.01185751
best pmp certification,USA,Broad match,existing searches,1.0,1.11132588267,0.5919651615587025,1.1113262,-3.349813670894264e-07,0.06460476
best problem solving courses,USA,Broad match,existing searches,1.0,1.3573633293899998,0.5919652442726597,1.3573635,-1.3305812029962285e-07,0.06460476
best system design course,USA,Broad match,existing,1.3799999979562754,1.26545476532,0.7230300865175097,1.2654548,-3.814521587486297e-09,0.15746057
best tpm certification,USA,Broad match,existing searches,1.0,1.0550621209699995,0.6287498829920182,1.0550623,-1.730363479168773e-07,0.01185751
blue ocean strategy certification,USA,Broad match,existing searches,1.0,1.2741475596900005,0.5279902115340249,1.2741477,-1.892571432904333e-07,0.01185751
certificate courses,USA,Broad match,existing searches,1.0,1.26509050799,0.591965062147257,1.2650906,-7.67649439570306e-08,0.06460476
cisco courses online,USA,Broad match,existing searches,1.0,1.38266492699,0.59196508739802,1.3826648,1.2729975340519672e-07,0.01185751
class central,USA,Broad match,existing searches,1.0,1.5059537400399996,0.6522821892892672,1.5059538,-4.871732461886325e-08,0.01185751
clickup,USA,Broad match,existing searches,1.0,1.3878580993799998,0.4170296258120372,1.3878582,-5.3009526546077275e-08,0.06460476
cognitive class ibm,USA,Broad match,existing searches,1.0,1.38279425568,0.5883072561682814,1.3827943,-5.298698591005291e-09,0.01185751
cognitive systems engineering,USA,Broad match,existing searches,1.0,1.2555032554300003,0.5279902997644119,1.2555032,7.778717803219592e-08,0.01185751
complex problem solving skills,USA,Broad match,existing searches,1.0,1.50752309084,0.6287499380117834,1.5075231,3.099502920989039e-08,0.06460476
computer architecture course,USA,Broad match,existing searches,1.0,1.5281887415400002,0.5919652942171547,1.5281887,3.6095664235347165e-08,0.01185751
cost engineer certification,USA,Broad match,existing searches,1.3799999979562814,1.3707852734699997,0.759814776338652,1.3707852,3.7111357098496e-08,0.1720388
cost estimation certification for managers and engineers,USA,Broad match,existing searches,1.0,1.190502392986,0.6287499544407731,1.1905024,-1.2180625841295978e-08,0.0
course monitoring and evaluation,USA,Broad match,existing searches,1.0,1.2814944461400002,0.6287496760899514,1.2814945,-5.211286846495967e-08,0.0
coursera certificate,USA,Broad match,existing searches,1.379999997956233,1.21495351875,0.7230301567333222,1.2149537,-1.4221496580368864e-07,0.1720388
courses on leadership,USA,Broad match,existing searches,1.0,1.38174800474,0.5919651826078896,1.381748,4.369568862294671e-08,0.011857629
