Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
asana workflow specialist certification,B,Phrase match,existing searches,20.58000040854077,65.281313566335,62.32188024915055,65.281334,-2.0357004842708196e-05,10.924429
asana workflow specialist certification,B,Broad match,existing searches,25.349999162828063,74.72146667585501,71.51542891607413,74.721466,6.114018873404348e-07,13.854731
blue ocean strategy certification,USA,Exact match,existing searches,0.9900000283114226,1.0896514015349996,0.39287393857571,1.0896513,5.5328334580551086e-08,0.011857629
blue ocean strategy certification,USA,Phrase match,existing searches,0.9900000283113228,1.827842056735,0.3928740620450588,1.827842,5.958839377484537e-08,0.011857629
blue ocean strategy certification,USA,Broad match,existing searches,0.9900000283112408,1.863156106469,0.3928737902611143,1.8631562,-9.29862611354082e-08,0.01185751
certification in agentic systems and design,USA,Exact match,existing searches,0.9900000283114228,1.0771768685999994,0.3928738233271722,1.0771768,5.928908630714602e-08,0.06460482
certification in agentic systems and design,USA,Phrase match,existing searches,0.9900000283114228,0.9428124224000002,0.3928738032631899,0.9428123,9.882974871811001e-08,0.06460482
certification in agentic systems and design,USA,Broad match,existing searches,0.9900000283113464,0.9781264721339998,0.3928737698978243,0.9781265,-5.374490641418817e-08,0.06460464
cio education programs,USA,Exact match,existing searches,3.849999864056026,1.8408370578349995,1.2402059996189043,1.840837,5.603446240343146e-08,0.5179041
cio education programs,USA,Phrase match,existing searches,0.9900000283114228,1.0383200243349993,0.392873843037697,1.0383201,-4.020967847573331e-08,0.011857629
cio education programs,USA,Broad match,existing searches,0.9900000283114232,1.0027918297339995,0.3928737718154509,1.002792,-1.7103656935191225e-07,0.011857629
courses for first time managers,USA,Exact match,existing searches,0.9900000283114228,1.0180792817999995,0.3928738841941037,1.0180794,-1.182625612994315e-07,0.06460482
courses for first time managers,USA,Phrase match,existing searches,0.9900000283113956,1.7562699369999997,0.3928737692448727,1.7562699,5.206786779510253e-09,0.06460482
courses for first time managers,USA,Broad match,existing searches,0.9900000283113796,1.720741742399,0.3928737576272714,1.7207419,-1.2562010409666868e-07,0.06460464
critical thinking short course,USA,Exact match,existing,0.9900000283114226,1.1964290984999997,0.3928739675414423,1.196429,8.429406683774232e-08,0.011857629
critical thinking short course,USA,Phrase match,existing,0.9900000283114228,1.8784429664999995,0.3928739662558587,1.8784429,8.30084831981992e-08,0.011857629
critical thinking short course,USA,Broad match,existing,0.9900000283114228,1.9137570162340003,0.3928739328904944,1.9137571,-6.956617060183136e-08,0.011857629
cs50,A,Broad match,existing searches,15.57000036177757,14.516954302947,13.489954829375222,14.5169525,1.788298561677948e-06,4.8043194
cs50 edx,A,Phrase match,existing searches,15.570000361777568,14.454953530192,13.473052063345534,14.454952,1.2902017658689149e-06,4.5120344
cs50 edx,A,Broad match,existing searches,15.570000361777568,14.899737427312,13.747946450787648,14.899736,1.022893055591112e-06,4.6377926
curso scrum,USA,Exact match,existing searches,0.9900000283114228,1.2905252602349997,0.3928740051042316,1.2905252,6.225221138578263e-08,0.0
curso scrum,USA,Phrase match,existing searches,0.9900000283114228,1.972539128235,0.3928739442140037,1.9725391,6.096662819032872e-08,0.0
curso scrum,USA,Broad match,existing searches,0.990000028311378,1.937010933634,0.3928739325964023,1.937011,-6.986026268585023e-08,0.0
design patterns certification,B,Broad match,existing searches,20.58000040854077,66.000239788355,62.7348806250707,66.00025,-1.198166452809346e-05,11.866073
edx cs50x,A,Phrase match,existing searches,15.570000361777568,14.454953530192,13.473052063345534,14.454952,1.2902017658689149e-06,4.3534393
edx cs50x,A,Broad match,existing searches,15.57000036177757,14.718513718512,13.566722741987649,14.718513,1.1834167850111044e-06,4.3764987
engineering bursaries,USA,Exact match,existing searches,0.9900000283114226,1.3011382717999993,0.3928740520391045,1.3011382,1.0918708426288505e-07,0.06460482
engineering bursaries,USA,Phrase match,existing searches,0.9900000283114228,2.017451425799999,0.3928741419407462,2.0174513,1.39484081174146e-07,0.06460482
engineering bursaries,USA,Broad match,existing searches,0.9900000283113466,2.052765475534,0.3928738701568028,2.0527656,-1.3229986217666578e-07,0.06460476
engineering project manager course,USA,Exact match,existing searches,0.9900000283114226,1.0036942823349997,0.3928738696991964,1.0036943,-1.3548179023104012e-08,0.06460482
engineering project manager course,USA,Phrase match,existing searches,0.9900000283114228,1.7418849375349994,0.3928737547499652,1.741885,-9.288120716988146e-09,0.06460482
engineering project manager course,USA,Broad match,existing searches,0.9900000283113086,1.7771989872690002,0.3928737213846007,1.7771991,-1.618627747390633e-07,0.06460476
formation gestion de projet gratuite,USA,Exact match,existing searches,0.9900000283114226,1.228924078834999,0.3928739856610184,1.228924,4.280899812414418e-08,0.011857629
formation gestion de projet gratuite,USA,Phrase match,existing searches,0.9900000283114226,1.1164371338349994,0.3928739991647418,1.1164371,5.631272159689616e-08,0.011857629
formation gestion de projet gratuite,USA,Broad match,existing searches,0.9900000283114228,1.0571644200690002,0.3928738130934448,1.0571645,-1.297585754400643e-07,0.01185751
free certification courses for software developers,USA,Exact match,existing searches,0.9900000283114228,0.931838693035,0.3928738254431422,0.93183875,-5.780423328882733e-08,0.011857629
free certification courses for software developers,USA,Phrase match,existing searches,0.9900000283114226,1.6481518470350005,0.3928737365308499,1.6481519,-2.7507236044499453e-08,0.011857629
free certification courses for software developers,USA,Broad match,existing searches,0.9900000283113868,1.683465896769,0.3928737031654843,1.6834661,-1.8008189117679765e-07,0.011857629
free software engineering courses with certificate,USA,Exact match,existing searches,0.9900000283114224,0.9037560950350004,0.3928738366197782,0.90375614,-4.6627597227733026e-08,0.011857629
free software engineering courses with certificate,USA,Phrase match,existing searches,0.9900000283114226,1.6200692490350002,0.3928737477074855,1.6200693,-1.6330600427494346e-08,0.011857629
free software engineering courses with certificate,USA,Broad match,existing searches,0.9900000283114228,1.6553832987689998,0.3928737143421199,1.6553835,-1.6890525555979252e-07,0.011857629
future skill e learning platform,USA,Exact match,existing searches,0.9900000283114228,1.3508737769999997,0.3928740707316891,1.3508737,6.827502407880105e-08,0.06460482
future skill e learning platform,USA,Phrase match,existing searches,0.990000028311423,1.2383868319999998,0.3928739650261228,1.2383868,8.17787473295084e-08,0.06460482
future skill e learning platform,USA,Broad match,existing searches,3.849999864056025,1.826289611291,1.2357774548044889,1.8262892,4.34350082123558e-07,0.16331267
how to become the best project manager,USA,Exact match,existing searches,0.9900000283114224,1.0036942823349997,0.3928738696991964,1.0036943,-1.3548179023104012e-08,0.06460482
how to become the best project manager,USA,Phrase match,existing searches,0.9900000283114226,1.7418849375349994,0.3928737547499652,1.741885,-9.288120716988146e-09,0.06460482
how to become the best project manager,USA,Broad match,existing searches,0.9900000283114228,1.7771989872690002,0.3928737213846007,1.7771991,-1.618627747390633e-07,0.06460482
https www theforage com simulations cbre project management x2vz,USA,Exact match,existing searches,0.9900000283114228,1.1917960347349998,0.392873913210189,1.1917961,-2.9641831211790762e-08,0.06460482
https www theforage com simulations cbre project management x2vz,USA,Phrase match,existing searches,0.990000028311423,1.2147336344349993,0.3928739766705644,1.2147336,3.3818544187269595e-08,0.06460482
https www theforage com simulations cbre project management x2vz,USA,Broad match,existing searches,3.849999864056025,2.022109007826,1.235777413835674,2.0221088,2.1456733279023865e-07,0.24067032
it certification courses online free,USA,Exact match,existing searches,0.9900000283114226,0.931838693035,0.3928738254431421,0.93183875,-5.780423339984964e-08,0.011857629
it certification courses online free,USA,Phrase match,existing searches,0.9900000283114226,1.6481518470350005,0.3928737365308499,1.6481519,-2.7507236044499453e-08,0.011857629
it certification courses online free,USA,Broad match,existing searches,0.9900000283114228,1.683465896769,0.3928737031654843,1.6834661,-1.8008189117679765e-07,0.011857629
it certification courses online free,A,Broad match,existing searches,15.570000361777566,15.022720115827,13.492015736745277,15.022719,7.325872548591406e-07,4.758398
leadership training kenya,USA,Exact match,existing searches,3.849999864056026,2.048601405284999,1.3156127497178298,2.0486014,1.6353724596740452e-08,0.18792331
leadership training kenya,USA,Phrase match,existing searches,0.9900000283114228,1.1706777144349998,0.3928739953912681,1.1706777,5.253924784121011e-08,0.011857629
leadership training kenya,USA,Broad match,existing searches,3.849999864056028,1.883466324326,1.2357773990597345,1.883466,3.190006827580305e-07,0.18792325
learn critical thinking and problem solving,USA,Exact match,existing searches,0.9900000283114226,1.0943864448349994,0.3928738696854632,1.0943865,-1.356191225987402e-08,0.06460482
learn critical thinking and problem solving,USA,Phrase match,existing searches,0.9900000283114226,0.981899499835,0.3928738831891869,0.98189944,5.954645621031319e-08,0.06460482
learn critical thinking and problem solving,USA,Broad match,existing searches,0.9900000283114228,1.0172135495690005,0.3928737902191774,1.0172138,-2.7184213235997845e-07,0.06460482
learning software engineering for beginners,USA,Exact match,existing searches,0.9900000283114226,1.0537823103999997,0.3928739093875788,1.0537823,-3.3464441440145265e-08,0.011857629
learning software engineering for beginners,USA,Phrase match,existing searches,0.9900000283114226,1.7139186772000004,0.3928739937435794,1.7139187,-8.713085586364855e-09,0.011857629
learning software engineering for beginners,USA,Broad match,existing searches,0.9900000283114224,1.928082244699,0.3928737810301765,1.9280825,-2.2142648847811586e-07,0.011857629
learnvern courses,USA,Exact match,existing searches,0.9900000283114228,0.9837995780999994,0.3928738845880365,0.9837996,1.3406610266386563e-09,0.06460482
learnvern courses,USA,Phrase match,existing searches,0.9900000283114226,0.6870792500999996,0.3928738527325222,0.6870792,5.8892113852238026e-08,0.06460482
learnvern courses,USA,Broad match,existing searches,3.849999864056025,1.494454623491,1.2357774091069211,1.4944544,2.396409024552071e-07,0.36128342
lms learning program,USA,Exact match,existing,0.9900000283114228,1.0358322193349996,0.3928739359106221,1.0358322,5.266324665242905e-08,0.0646047
lms learning program,USA,Phrase match,existing,0.9900000283114228,1.0587698190349997,0.3928739993709982,1.0587697,1.1612362271762323e-07,0.06460476
lms learning program,USA,Broad match,existing,3.849999864056025,1.866145192426,1.2357774365361076,1.866145,1.7766312176981105e-07,0.80733705
online learnerships for 2025 with stipend,A,Broad match,existing searches,15.570000361777568,14.439112112947004,13.457208798356548,14.439111,1.3570265924300884e-06,4.479354
online team building course,USA,Exact match,existing,0.9900000283114226,1.1283061681650008,0.3928738413713302,1.1283062,1.772859947735128e-08,0.0
online team building course,USA,Phrase match,existing,0.9900000283114226,1.8064541849649995,0.392874005750522,1.8064542,3.2938569649587635e-09,0.0
online team building course,USA,Broad match,existing,0.9900000283114228,1.7709259903639998,0.3928739941329207,1.7709261,-1.2753303391122017e-07,0.0
organizational strategy certificate,USA,Exact match,existing,0.9900000283114226,1.1082523031349998,0.3928738994713645,1.1082523,1.6223989041108666e-08,0.011857629
organizational strategy certificate,USA,Phrase match,existing,0.9900000283114226,1.8245654571350003,0.3928740489776516,1.8245654,4.6520986618503464e-08,0.011857629
organizational strategy certificate,USA,Broad match,existing,0.9900000283114228,1.859879506869,0.392873777193707,1.8598796,-1.0605366851379473e-07,0.011857629
problem solving through systems thinking,USA,Exact match,existing searches,0.9900000283114226,1.211141591355,0.3177120140043834,1.2111416,5.0512889426812535e-09,0.011857629
problem solving through systems thinking,USA,Phrase match,existing searches,0.9900000283114226,1.0986546463550002,0.3177120275081069,1.0986546,1.8555012415433225e-08,0.011857629
problem solving through systems thinking,USA,Broad match,existing searches,0.9900000283114228,1.3128182138539994,0.3625725354291642,1.3128184,-1.941583906983624e-07,0.01185751
product roadmap training,USA,Exact match,existing searches,0.9900000283114226,1.2107726345299996,0.3928738842248238,1.2107725,1.2018673789526704e-07,0.0
product roadmap training,USA,Phrase match,existing searches,0.9900000283114228,1.92708578853,0.3928741529404,1.9270856,1.504837350285726e-07,0.0
product roadmap training,USA,Broad match,existing searches,0.990000028311422,1.891557593929,0.3928739029042196,1.8915576,1.9656844152393663e-08,0.0
project management leading organizations to success,USA,Exact match,existing searches,0.9900000283114226,1.2502748984350005,0.3928738850606719,1.2502749,1.8132964019201838e-09,0.06460482
project management leading organizations to success,USA,Phrase match,existing searches,0.9900000283114224,1.988465553635,0.3928740085300193,1.9884655,6.0733542639468405e-09,0.06460482
project management leading organizations to success,USA,Broad match,existing searches,3.849999864056026,2.795840927026,1.235777326485839,2.7958407,1.868221426448713e-07,0.27883923
quality assurance and quality control online courses,USA,Exact match,existing searches,0.9900000283114224,0.8088359331349999,0.3928739225129753,0.8088359,9.463277494958788e-09,0.06460482
quality assurance and quality control online courses,USA,Phrase match,existing searches,0.9900000283114226,0.8536510340350002,0.3928738407271236,0.853651,4.6886715288074754e-08,0.06460482
quality assurance and quality control online courses,USA,Broad match,existing searches,0.9900000283114228,0.8889650837690001,0.3928738073617582,0.8889652,-1.0568793962217883e-07,0.06460482
quality assurance and quality control online courses,A,Broad match,existing searches,15.570000361777566,14.228219302827,13.492015811139224,14.228218,1.224213718842293e-06,5.166963
short courses yale,USA,Exact match,existing searches,0.9900000283114224,0.8627134424999998,0.3928739291981504,0.8627135,-7.32585145879483e-08,0.011857629
short courses yale,USA,Phrase match,existing searches,0.9900000283114226,0.9075285434000002,0.3928738474122988,0.90752846,8.337421286697123e-08,0.011857629
short courses yale,USA,Broad match,existing searches,0.9900000283114228,0.942842593134,0.3928738140469333,0.94284266,-6.920044215430465e-08,0.01185751
signal integrity course,B,Broad match,existing searches,20.58000040854077,65.914766791155,62.73488068847861,65.91478,-1.2871930934466036e-05,9.804771
software engineering short course,USA,Exact match,existing searches,0.9900000283114226,0.9887311650300002,0.3928739024186111,0.9887312,-4.043340917636584e-08,0.06460482
software engineering short course,USA,Phrase match,existing searches,0.9900000283114226,1.7050443190299998,0.3928740519248972,1.7050443,4.946823217721885e-08,0.06460482
software engineering short course,USA,Broad match,existing searches,0.9900000283114226,1.919207886529,0.392873839211495,1.919208,-1.6324517004839836e-07,0.06460482
software engineering short courses,USA,Exact match,existing searches,0.9900000283114226,0.9887311650300002,0.3928739024186111,0.9887312,-4.043340917636584e-08,0.011857629
software engineering short courses,USA,Phrase match,existing searches,0.9900000283114226,1.7050443190299998,0.3928740519248972,1.7050443,4.946823217721885e-08,0.011857629
software engineering short courses,USA,Broad match,existing searches,0.9900000283114226,1.919207886529,0.392873839211495,1.919208,-1.6324517004839836e-07,0.011857629
system engineering textbook,USA,Exact match,existing searches,0.9900000283114226,1.2529607728399998,0.3928737953581578,1.2529608,-2.8284572906045472e-08,0.06460476
system engineering textbook,USA,Phrase match,existing searches,0.9900000283114226,1.91309713964,0.3928739989234469,1.9130971,-3.533218162488083e-09,0.06460482
system engineering textbook,USA,Broad match,existing searches,0.9900000283114228,2.050546014999,0.3928738481746592,2.0505462,-1.5428200583755824e-07,0.06460476
systemic view,USA,Broad match,existing searches,0.9900000283114226,1.067229219774,0.2503973926103038,1.0672293,-5.116105850078157e-08,0.01185751
tech short courses,USA,Exact match,existing searches,0.9900000283114226,0.9804457644,0.3928739646449035,0.9804457,8.139752805114142e-08,0.06460482
tech short courses,USA,Phrase match,existing searches,0.9900000283114226,1.0252608652999995,0.3928739424636958,1.0252609,-5.99929692590706e-08,0.06460482
tech short courses,USA,Broad match,existing searches,0.9900000283114228,1.0605749150340005,0.3928738494936865,1.060575,-9.335833373036453e-08,0.06460476
ui ux design free course with certificate,B,Broad match,existing searches,20.58000040854077,65.87009435135501,62.63416343170779,65.8701,-7.577355930266094e-06,23.222141
yali network online courses,USA,Exact match,existing searches,3.849999864056026,1.551168233135,1.240206032970205,1.5511681,1.4899040756688464e-07,0.51790404
yali network online courses,USA,Phrase match,existing searches,0.9900000283114228,1.543152012635,0.3928739212043359,1.543152,3.79569604636032e-08,0.011857748
yali network online courses,USA,Broad match,existing searches,3.849999864056028,2.350527386026,1.2357774775787345,2.3505273,9.94964590717018e-08,0.1879232
