Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
a certification,USA,Broad match,existing searches,0.9900000053792952,3.0816709977700008,0.4347929936959041,3.081671,-1.7569767862823935e-09,0.06460476
advanced modeling,USA,Broad match,existing searches,0.9900000053792952,1.3217564431300013,0.4347929564585535,1.3217565,-3.8994327322683375e-08,0.06460476
african leadership academy global scholars program,USA,Broad match,existing searches,0.9900000053792952,1.3879887182600013,0.4755497295743933,1.3879888,-8.751087277047986e-08,0.01185751
alison,USA,Broad match,existing searches,0.9900000053792952,3.0914127175300004,0.4347929303138138,3.091413,-3.0355764613076985e-07,0.06460482
alison course certificate,USA,Broad match,existing searches,0.9900000053792952,3.1999266710400014,0.4347928133129506,3.1999269,-1.821399302492921e-07,0.06460476
alison courses,USA,Broad match,existing searches,0.9900000053792952,1.4645402885800014,0.4347930408840785,1.4645404,-7.377809185804551e-08,0.06460482
alison leadership courses,USA,Broad match,existing searches,0.9900000053792952,1.3599142317800013,0.4347929840115991,1.3599143,-7.104592647522169e-08,0.011857629
altium pcb design course,USA,Broad match,existing searches,0.9900000053792952,1.091562000180001,0.3959300788886497,1.0915619,8.668970563618927e-08,0.06460476
alxafrica courses,USA,Broad match,existing searches,0.9900000053792952,1.414849691470001,0.4347931075886229,1.4148496,5.2531097249897136e-08,0.0
amazon logistics process,USA,Broad match,existing searches,0.9900000053792952,1.1103475876700004,0.4347929545294364,1.1103477,-1.6013273396175978e-07,0.01185739
application for leadership development program,USA,Broad match,existing searches,0.9900000053792952,1.4839587253600004,0.4347929996519926,1.4839587,4.199111725000648e-09,0.011857629
archetypes systems thinking,USA,Broad match,existing searches,0.9900000053792952,1.5906195259600011,0.3959300137071935,1.5906196,-3.809639537166731e-08,0.01185751
best bim certification,USA,Broad match,existing searches,0.9900000053792952,0.9278110335000004,0.3959299395211184,0.927811,6.926819118291405e-09,0.0
best courses for project management,USA,Broad match,existing,0.9900000053792952,1.1486229542700008,0.3959300760236934,1.1486229,8.38247493639699e-08,0.06460476
best management skills,USA,Broad match,existing searches,0.9900000053792952,1.0237780935700005,0.5024567372734612,1.0237782,-1.0657953564141565e-07,0.0
best system design course,USA,Broad match,existing,1.2999999672164302,1.8464236290000005,0.6274195940039677,1.8464235,1.222632450836869e-07,0.050026536
best system design course,A,Broad match,existing,0.8100000117729903,1.8814358004500005,0.4480444678236577,1.8814356,1.6774431199628737e-07,0.01185751
blue ocean strategy certification,USA,Broad match,existing searches,0.9900000053792952,1.2420559976700003,0.3959300373199637,1.2420561,-1.336929147388588e-07,0.01185751
certificate courses,USA,Broad match,existing searches,0.9900000053792952,1.354352974880001,0.4296869277837485,1.3543531,-9.53790932900489e-08,0.06460476
certification in project management,A,Phrase match,existing searches,20.680000489322868,16.932760189620005,15.934858749953255,16.932758,1.8583211769396255e-06,10.137111
certification in project management,A,Broad match,existing searches,20.680000489322868,17.059444748020002,15.803215347385237,17.059444,3.20529768060851e-07,9.759459
church administration and leadership,USA,Broad match,existing searches,0.9900000053792952,1.452539169870001,0.5024568677764951,1.4525393,-1.5489043603267305e-07,0.01185751
class central,USA,Broad match,existing searches,0.9900000053792952,1.334233172470001,0.4296869712409055,1.3342333,-1.1152658108137815e-07,0.01185751
class central certificate,USA,Broad match,existing searches,0.9900000053792952,1.3996419669800009,0.4296869994812216,1.399642,-2.3681620220372682e-08,0.01185751
class central certificates,USA,Broad match,existing searches,0.9900000053792952,1.413254736480001,0.4296870217888389,1.4132547,-1.3740029114472916e-09,0.01185751
clickup,USA,Broad match,existing searches,0.9900000053792952,1.3180059899300007,0.4296869148224262,1.318006,-4.8735770752372793e-08,0.06460476
cognitive class ibm,USA,Broad match,existing searches,0.9900000053792952,1.2186741858500008,0.3959301143663887,1.2186743,-1.1625113449653669e-07,0.01185751
cognitive systems engineering,USA,Broad match,existing searches,0.9900000053792952,1.2057550731700004,0.3959301296275199,1.205755,7.782393107724772e-08,0.01185751
complex problem solving skills,USA,Broad match,existing searches,0.9900000053792952,1.2393625714700005,0.3959300854127188,1.2393625,9.321377469895253e-08,0.06460476
computer architecture course,USA,Broad match,existing searches,0.9900000053792952,1.3350512004800008,0.4296869851060079,1.3350513,-9.766147868184305e-08,0.01185751
cost engineer certification,USA,Broad match,existing searches,0.9900000053792952,1.3777795826700006,0.3959302102830682,1.3777795,9.887483454207313e-08,0.06460476
coursera certificate,USA,Broad match,existing searches,0.9900000053792952,1.3983370899800007,0.4296869873646443,1.3983371,-3.579819751742264e-08,0.06460476
courses for first time managers,USA,Broad match,existing searches,0.9900000053792952,1.2880488815800013,0.4347929540172877,1.2880489,1.8169051596572672e-08,0.06460476
