Region,Age,Clicks,All conv.,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
A,18 - 24,5047,0.0,0.0,0.0022814472544246873,-0.9,-90.0,-90%
B,18 - 24,9800,0.0,0.0,0.0005756050221386547,-0.9,-90.0,-90%
B,35 - 44,12551,12.91,0.0010286032985419489,0.0005756050221386547,0.786995003483784,78.69950034837841,+79%
A,45 - 54,6599,23.0,0.0034853765722079105,0.0022814472544246873,0.5277042085668635,52.77042085668635,+53%
B,Unknown,15828,13.0,0.0008213292898660602,0.0005756050221386547,0.42689736586108884,42.689736586108886,+43%
A,25 - 34,12637,18.0,0.0014243886998496478,0.0022814472544246873,-0.3756644178000793,-37.56644178000793,-38%
A,Unknown,13094,41.0,0.0031312051321215825,0.0022814472544246873,0.3724643977847206,37.246439778472066,+37%
B,25 - 34,20533,7.53,0.00036672673257682754,0.0005756050221386547,-0.3628847586939773,-36.28847586939773,-36%
USA,Unknown,14006,47.25,0.003373554191060974,0.002757455905932657,0.22342996811038174,22.342996811038173,+22%
A,35 - 44,9961,27.6,0.0027708061439614498,0.0022814472544246873,0.21449493894180094,21.449493894180094,+21%
USA,35 - 44,10363,26.5,0.0025571745633503813,0.002757455905932657,-0.07263265466960722,-7.263265466960722,-7%
USA,25 - 34,10041,26.0,0.002589383527537098,0.002757455905932657,-0.06095197316988887,-6.095197316988887,-6%
USA,45 - 54,8232,21.5,0.00261175898931001,0.002757455905932657,-0.05283744204546681,-5.2837442045466805,-5%
B,45 - 54,6299,3.52,0.0005588188601365296,0.0005756050221386547,-0.029162639929297907,-2.9162639929297907,-3%
A,55 - 64,808,1.0,0.0012376237623762376,0.0022814472544246873,,,No adjustment (insufficient data)
A,65+,332,0.0,0.0,0.0022814472544246873,,,No adjustment (insufficient data)
B,55 - 64,604,0.0,0.0,0.0005756050221386547,,,No adjustment (insufficient data)
B,65+,333,1.0,0.003003003003003003,0.0005756050221386547,,,No adjustment (insufficient data)
USA,18 - 24,1628,2.5,0.0015356265356265355,0.002757455905932657,,,No adjustment (insufficient data)
USA,55 - 64,1595,4.23,0.002652037617554859,0.002757455905932657,,,No adjustment (insufficient data)
USA,65+,910,1.0,0.001098901098901099,0.002757455905932657,,,No adjustment (insufficient data)
