Region,Hour Group,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
B,21 - 23,6215,0.4,6.436041834271923e-05,4.007052412245552e-06,9.0,900.0,+900%
A,9 - 11,11344,1.6099999999999999,0.0001419252468265162,7.409125839145123e-05,0.9155464478234827,91.55464478234828,+92%
B,12 - 14,14086,0.0,0.0,4.007052412245552e-06,-0.9,-90.0,-90%
A,12 - 14,9467,0.01,1.0563008344776593e-06,7.409125839145123e-05,-0.9,-90.0,-90%
A,0 - 2,7008,0.01,1.4269406392694064e-06,7.409125839145123e-05,-0.9,-90.0,-90%
B,9 - 11,15773,0.0,0.0,4.007052412245552e-06,-0.9,-90.0,-90%
B,18 - 20,7426,0.0,0.0,4.007052412245552e-06,-0.9,-90.0,-90%
B,3 - 5,15414,0.0,0.0,4.007052412245552e-06,-0.9,-90.0,-90%
B,0 - 2,13387,0.0,0.0,4.007052412245552e-06,-0.9,-90.0,-90%
B,15 - 17,11665,0.0,0.0,4.007052412245552e-06,-0.9,-90.0,-90%
B,6 - 8,15858,0.0,0.0,4.007052412245552e-06,-0.9,-90.0,-90%
USA,18 - 20,9307,1.5,0.000161169012571183,0.0004189616860817453,-0.6153132424148764,-61.53132424148764,-62%
A,15 - 17,9409,1.07,0.00011372090551599533,7.409125839145123e-05,0.5348761511805642,53.48761511805642,+53%
A,3 - 5,11862,0.42000000000000004,3.540718259989884e-05,7.409125839145123e-05,-0.522113898878195,-52.21138988781951,-52%
USA,21 - 23,7538,4.7,0.0006235075616874503,0.0004189616860817453,0.4882209576696117,48.82209576696117,+49%
USA,12 - 14,14815,4.1,0.00027674654066824165,0.0004189616860817453,-0.3394466609668826,-33.94466609668826,-34%
A,6 - 8,11718,0.5800000000000001,4.949650110940434e-05,7.409125839145123e-05,-0.33195221428287514,-33.19522142828751,-33%
USA,9 - 11,13502,6.9,0.0005110354021626426,0.0004189616860817453,0.2197664348308268,21.976643483082682,+22%
USA,15 - 17,12779,6.51,0.0005094295328272948,0.0004189616860817453,0.21593346062651175,21.593346062651175,+22%
USA,0 - 2,6558,3.1,0.0004727050930161635,0.0004189616860817453,0.12827761754790168,12.827761754790167,+13%
USA,6 - 8,6196,2.9,0.00046804389928986444,0.0004189616860817453,0.11715203284374431,11.715203284374432,+12%
A,18 - 20,4891,1.41,0.0002882846043753833,7.409125839145123e-05,,,No adjustment (insufficient data)
A,21 - 23,3270,0.0,0.0,7.409125839145123e-05,,,No adjustment (insufficient data)
USA,3 - 5,3560,1.4,0.00039325842696629214,0.0004189616860817453,,,No adjustment (insufficient data)
